sl,tp,n,pf,zpf,shd,zshd,sl_hit_pct,tp_hit_pct,eod_plus_pct,eod_minus_pct
5.0,6.0,13683,1.192,0.92,1.247,-0.585,17.5,13.5,40.4,28.6
5.5,2.0,14553,1.141,0.811,1.052,-1.579,11.7,56.8,8.8,22.7
5.5,2.5,14294,1.139,0.837,1.045,-1.367,12.7,47.7,13.8,25.8
5.5,3.0,14128,1.154,0.864,1.125,-1.12,13.4,40.1,18.8,27.6
5.5,3.5,13991,1.168,0.885,1.199,-0.924,13.9,33.6,23.7,28.8
5.5,4.0,13915,1.166,0.89,1.164,-0.866,14.3,28.1,27.9,29.7
5.5,4.5,13835,1.17,0.898,1.171,-0.786,14.5,23.4,31.9,30.2
5.5,5.0,13774,1.169,0.9,1.139,-0.76,14.6,19.3,35.5,30.5
5.5,5.5,13715,1.176,0.908,1.168,-0.685,14.8,16.2,38.3,30.8
5.5,6.0,13674,1.188,0.919,1.219,-0.589,14.8,13.6,40.7,30.9
6.0,2.0,14547,1.14,0.811,1.02,-1.539,9.9,57.1,8.9,24.2
6.0,2.5,14287,1.138,0.837,1.011,-1.341,10.7,47.9,13.9,27.5
6.0,3.0,14121,1.152,0.863,1.091,-1.102,11.3,40.3,19.0,29.5
6.0,3.5,13983,1.165,0.884,1.161,-0.915,11.7,33.8,23.8,30.8
6.0,4.0,13907,1.163,0.889,1.123,-0.861,12.0,28.3,28.1,31.6
6.0,4.5,13827,1.167,0.897,1.132,-0.781,12.2,23.6,32.1,32.1
6.0,5.0,13766,1.166,0.899,1.103,-0.756,12.3,19.5,35.7,32.5
6.0,5.5,13706,1.173,0.907,1.132,-0.683,12.5,16.3,38.5,32.8
6.0,6.0,13663,1.184,0.917,1.175,-0.598,12.5,13.7,40.9,32.8
