stock,config,trade_count,win%,protrades%,eff%,total_pnl,pnl_per_share
ONGC,Extreme-3,2584,16.49,43.81,-0.0267,-22905.48,-0.0502
ONGC,Extreme-4,2584,13.82,43.27,-0.025,-21456.5,-0.047
PNB,Extreme-1,2748,18.96,41.16,-0.0351,-32107.36,-0.0208
PNB,Extreme-2,2748,15.68,40.65,-0.0347,-31704.13,-0.0205
PNB,Extreme-3,2748,16.48,42.61,-0.0434,-39728.94,-0.0257
PNB,Extreme-4,2748,13.97,42.29,-0.0381,-34905.02,-0.0226
POWERGRID,Extreme-1,2786,21.32,42.0,-0.0013,-1237.49,-0.0029
POWERGRID,Extreme-2,2786,17.62,41.35,0.0009,802.88,0.0019
POWERGRID,Extreme-3,2786,18.2,43.97,0.0022,2048.8,0.0047
POWERGRID,Extreme-4,2786,14.57,43.54,0.0008,700.13,0.0016
RELIANCE,Extreme-1,2489,20.37,41.5,-0.0072,-5824.69,-0.0926
RELIANCE,Extreme-2,2489,17.32,40.86,-0.0047,-3861.16,-0.0614
RELIANCE,Extreme-3,2489,17.92,42.91,-0.0094,-7614.9,-0.1211
RELIANCE,Extreme-4,2489,14.46,42.47,-0.0108,-8777.71,-0.1396
SBIN,Extreme-1,2631,20.18,42.19,-0.009,-7824.63,-0.0589
SBIN,Extreme-2,2631,16.53,41.62,-0.0098,-8481.41,-0.0639
SBIN,Extreme-3,2631,16.84,43.98,-0.0147,-12747.71,-0.096
SBIN,Extreme-4,2631,13.95,43.52,-0.0135,-11693.95,-0.0881
SUNPHARMA,Extreme-1,2962,22.69,47.16,0.0262,25335.7,0.3264
SUNPHARMA,Extreme-2,2962,18.33,46.62,0.0273,26370.91,0.3397
SUNPHARMA,Extreme-3,2962,18.97,48.99,0.0285,27591.91,0.3554
SUNPHARMA,Extreme-4,2962,16.1,48.38,0.0292,28238.91,0.3638
TATAMOTORS,Extreme-1,2124,20.9,37.85,-0.054,-37836.05,-0.3167
TATAMOTORS,Extreme-2,2124,17.42,37.15,-0.0564,-39563.07,-0.3312
TATAMOTORS,Extreme-3,2124,18.31,39.03,-0.0727,-50983.82,-0.4268
TATAMOTORS,Extreme-4,2124,14.5,38.37,-0.0767,-53737.07,-0.4498
TATASTEEL,Extreme-1,2407,20.27,38.76,-0.0384,-30752.01,-0.0488
TATASTEEL,Extreme-2,2407,16.87,38.1,-0.0381,-30532.25,-0.0485
TATASTEEL,Extreme-3,2407,17.2,39.97,-0.048,-38432.23,-0.061
