stock,config,trade_count,win%,protrades%,total_pnl,pnl_per_share
POWERGRID,Extreme-1,5919,38.4,41.32,194.0036,0.032776
POWERGRID,Extreme-2,5919,35.28,39.21,251.8346,0.042547
POWERGRID,Extreme-3,5919,38.25,43.27,191.3332,0.032325
POWERGRID,Extreme-4,5919,35.61,41.61,249.9357,0.042226
RELIANCE,Extreme-1,5395,37.48,40.61,1403.7075,0.260187
RELIANCE,Extreme-2,5395,34.4,38.81,1805.9971,0.334754
RELIANCE,Extreme-3,5395,37.5,42.78,1737.1225,0.321987
RELIANCE,Extreme-4,5395,34.24,41.2,2041.5314,0.378412
SBIN,Extreme-1,5357,38.73,43.74,1765.6161,0.32959
SBIN,Extreme-2,5357,35.13,41.31,1770.7411,0.330547
SBIN,Extreme-3,5357,37.71,45.04,1605.4286,0.299688
SBIN,Extreme-4,5357,33.75,43.23,1500.875,0.280171
SUNPHARMA,Extreme-1,6236,39.62,43.14,2588.7857,0.415136
SUNPHARMA,Extreme-2,6236,36.29,40.86,2879.4089,0.46174
SUNPHARMA,Extreme-3,6236,40.19,46.12,4113.6089,0.659655
SUNPHARMA,Extreme-4,6236,36.53,43.99,4070.0036,0.652663
TATAMOTORS,Extreme-1,4766,38.42,41.52,932.4079,0.195637
TATAMOTORS,Extreme-2,4766,35.27,39.51,1038.3557,0.217867
TATAMOTORS,Extreme-3,4766,38.12,42.74,539.1804,0.113131
TATAMOTORS,Extreme-4,4766,34.89,40.6,418.2179,0.08775
TATASTEEL,Extreme-1,5146,38.26,41.51,142.085,0.027611
TATASTEEL,Extreme-2,5146,35.39,39.37,183.2411,0.035608
TATASTEEL,Extreme-3,5146,38.15,42.71,92.0275,0.017883
TATASTEEL,Extreme-4,5146,35.04,40.87,128.2821,0.024929
TECHM,Extreme-1,5700,34.86,37.6,-1703.8711,-0.298925
TECHM,Extreme-2,5700,31.88,35.44,-1526.9721,-0.26789
TECHM,Extreme-3,5700,34.67,38.72,-2286.2096,-0.401089
TECHM,Extreme-4,5700,31.18,36.75,-2456.1207,-0.430898
VEDL,Extreme-1,4883,39.73,42.78,619.4696,0.126863
VEDL,Extreme-2,4883,37.05,41.06,833.3393,0.170661
VEDL,Extreme-3,4883,40.82,45.42,985.9821,0.201921
VEDL,Extreme-4,4883,37.7,43.44,1184.2214,0.242519
VI,Extreme-1,7391,25.44,34.84,-130.2104,-0.017617
VI,Extreme-2,7391,21.84,33.16,-146.8032,-0.019862
VI,Extreme-3,7391,23.83,36.38,-140.2089,-0.01897
VI,Extreme-4,7391,21.24,35.39,-137.5264,-0.018607
WIPRO,Extreme-1,5384,36.72,39.17,-162.2539,-0.030136
WIPRO,Extreme-2,5384,33.95,37.05,-161.1668,-0.029934
WIPRO,Extreme-3,5384,36.79,40.43,-319.0768,-0.059264
WIPRO,Extreme-4,5384,33.71,38.73,-300.7014,-0.055851
