Timestamp,Symbol,Side,Price,Quantity,Order_Value,Strategy,Target,Stop_Loss,Order_ID,Realized_PnL,Exit_Reason
2026-01-14 12:21:18,TATAMOTORS,BUY,353.35,2,706.70,MORNING_BOUNCE,358.65,351.58,260114000294489,,
2026-01-14 12:39:43,BHARTIARTL,BUY,2030.20,1,2030.20,MORNING_BOUNCE,2060.65,2020.05,260114000311496,,
2026-01-14 12:41:23,TATAMOTORS,BUY,352.35,6,2114.10,MORNING_BOUNCE,357.64,350.59,260114000312705,,
