signal_id,stock,datetime,p01,p02,p03,p04,p05,p06,p07,p07_na,p08,p09,p10,p11,p12,same_candle_tb,bounce_bar_index,entry_bar_index,bounce_datetime,entry_datetime,exit_datetime,entry_price,sl,target,pnl,outcome
S001,RELIANCE,2025-01-01 11:35:00+05:30,0.1016,0.0807,13,2.0,0.4401,84.62,-0.746,0,0.6425,0.0,1,0,0,0,1,2,2025-01-01 11:40:00+05:30,2025-01-01 11:45:00+05:30,2025-01-01 15:00:00+05:30,1219.55,1215.0767857142855,1227.6017857142856,1.35,EOD+
S002,RELIANCE,2025-01-01 11:50:00+05:30,0.1036,0.1016,0,,0.865,71.43,-0.9106,0,0.6614,1.0,2,0,1,0,2,3,2025-01-01 12:00:00+05:30,2025-01-01 12:05:00+05:30,2025-01-01 15:00:00+05:30,1219.1,1214.2517857142857,1227.8267857142855,1.8,EOD+
S003,RELIANCE,2025-01-01 13:10:00+05:30,0.0596,0.0766,12,8.0,0.2931,7.69,0.9409,0,0.34,,0,0,1,1,0,1,2025-01-01 13:10:00+05:30,2025-01-01 13:15:00+05:30,2025-01-01 15:00:00+05:30,1222.15,1217.0964285714283,1231.2464285714286,-1.25,EOD-
S004,RELIANCE,2025-01-01 13:20:00+05:30,0.0679,0.0587,0,,0.0899,5.0,1.8169,0,0.1694,,0,0,1,1,0,1,2025-01-01 13:20:00+05:30,2025-01-01 13:25:00+05:30,2025-01-01 15:00:00+05:30,1222.3,1217.3625,1231.1875,-1.4,EOD-
S005,RELIANCE,2025-01-01 13:30:00+05:30,0.0791,0.064,0,,0.6485,61.29,-0.833,0,0.2219,0.0,2,0,1,0,2,3,2025-01-01 13:40:00+05:30,2025-01-01 13:45:00+05:30,2025-01-01 15:00:00+05:30,1222.95,1218.3339285714285,1231.258928571429,-2.05,EOD-
S006,RELIANCE,2025-01-01 13:50:00+05:30,0.0744,0.0847,0,,0.7515,21.43,-0.3952,0,3.8492,1.0,2,0,0,0,2,3,2025-01-01 14:00:00+05:30,2025-01-01 14:05:00+05:30,2025-01-01 15:00:00+05:30,1224.35,1220.225,1231.775,-4.125,L
S007,RELIANCE,2025-01-01 14:15:00+05:30,0.0033,0.0433,2,2.0,0.2847,58.82,0.1458,0,0.7696,,0,1,1,1,0,1,2025-01-01 14:15:00+05:30,2025-01-01 14:20:00+05:30,2025-01-01 15:00:00+05:30,1223.25,1219.0357142857142,1230.8357142857144,-2.35,EOD-
S008,RELIANCE,2025-01-01 14:25:00+05:30,-0.0117,0.0243,0,,0.4855,38.89,-0.0798,0,0.8449,,0,0,1,1,0,1,2025-01-01 14:25:00+05:30,2025-01-01 14:30:00+05:30,2025-01-01 15:00:00+05:30,1223.6,1219.4035714285712,1231.1535714285717,-2.7,EOD-
S009,RELIANCE,2025-01-02 09:15:00+05:30,,,0,,0.966,90.41,-1.0,0,3.6041,,0,0,0,1,0,1,2025-01-02 09:15:00+05:30,2025-01-02 09:20:00+05:30,2025-01-02 10:10:00+05:30,1227.4,1222.676785714286,1235.9017857142858,-4.7232,L
S010,RELIANCE,2025-01-02 09:30:00+05:30,,,2,2.0,0.0401,45.71,9.303,0,0.6525,,0,1,1,1,0,1,2025-01-02 09:30:00+05:30,2025-01-02 09:35:00+05:30,2025-01-02 13:05:00+05:30,1224.7,1219.557142857143,1233.9571428571428,9.2571,W
S011,RELIANCE,2025-01-02 09:45:00+05:30,0.0069,,1,1.0,0.1125,56.6,1.0,0,0.6228,,0,1,1,1,0,1,2025-01-02 09:45:00+05:30,2025-01-02 09:50:00+05:30,2025-01-02 12:50:00+05:30,1223.7,1218.1464285714285,1233.696428571429,9.9964,W
S012,RELIANCE,2025-01-02 10:30:00+05:30,0.0264,-0.0008,0,,0.4694,39.47,-0.7995,0,1.1643,1.0,3,0,1,0,3,4,2025-01-02 10:45:00+05:30,2025-01-02 10:50:00+05:30,2025-01-02 13:05:00+05:30,1225.0,1219.6875,1234.5625000000002,9.5625,W
S013,RELIANCE,2025-01-02 11:00:00+05:30,0.0141,0.0431,2,2.0,0.1216,50.0,1.7451,0,1.5128,,0,1,1,1,0,1,2025-01-02 11:00:00+05:30,2025-01-02 11:05:00+05:30,2025-01-02 13:05:00+05:30,1224.55,1219.3089285714286,1233.9839285714286,9.4339,W
S014,RELIANCE,2025-01-02 14:30:00+05:30,0.1229,0.1638,40,10.0,0.08,51.72,3.058,0,0.7872,,0,0,0,1,0,1,2025-01-02 14:30:00+05:30,2025-01-02 14:35:00+05:30,2025-01-02 15:00:00+05:30,1238.15,1232.757142857143,1247.857142857143,4.65,EOD+
S015,RELIANCE,2025-01-03 09:25:00+05:30,,,0,,1.6066,76.74,-0.8877,0,0.532,0.0,3,0,0,0,3,4,2025-01-03 09:40:00+05:30,2025-01-03 09:45:00+05:30,2025-01-03 11:20:00+05:30,1240.1,1233.1714285714284,1252.5714285714284,12.4714,W
S016,RELIANCE,2025-01-03 09:50:00+05:30,0.025,,0,,0.7074,4.17,-0.5145,0,0.5239,1.0,2,0,1,0,2,3,2025-01-03 10:00:00+05:30,2025-01-03 10:05:00+05:30,2025-01-03 11:40:00+05:30,1241.7,1234.057142857143,1255.4571428571428,13.7571,W
S017,RELIANCE,2025-01-03 10:10:00+05:30,0.004,0.0234,0,,0.4188,41.86,-0.605,0,0.3908,0.0,1,0,1,0,1,2,2025-01-03 10:15:00+05:30,2025-01-03 10:20:00+05:30,2025-01-03 11:35:00+05:30,1240.1,1231.7875,1255.0625,14.9625,W
S018,RELIANCE,2025-01-03 12:45:00+05:30,0.248,0.3036,28,4.0,0.0787,18.18,5.3158,0,0.3187,,0,0,1,1,0,1,2025-01-03 12:45:00+05:30,2025-01-03 12:50:00+05:30,2025-01-03 15:00:00+05:30,1256.6,1250.5642857142857,1267.4642857142856,-3.5,EOD-
S019,RELIANCE,2025-01-03 12:55:00+05:30,0.207,0.2708,0,,0.2298,51.11,0.1927,0,0.5936,,0,0,0,1,0,1,2025-01-03 12:55:00+05:30,2025-01-03 13:00:00+05:30,2025-01-03 14:30:00+05:30,1257.3,1251.3714285714286,1267.9714285714283,-5.9286,L
S020,RELIANCE,2025-01-06 09:15:00+05:30,,,0,,1.5374,84.68,-0.9357,0,0.7723,0.0,1,0,1,0,1,2,2025-01-06 09:20:00+05:30,2025-01-06 09:25:00+05:30,2025-01-06 09:40:00+05:30,1256.3,1249.9785714285713,1267.678571428571,-6.3214,L
S021,RELIANCE,2025-01-06 09:35:00+05:30,,,2,1.0,0.0628,71.54,5.7391,0,0.6171,,0,0,1,1,0,1,2025-01-06 09:35:00+05:30,2025-01-06 09:40:00+05:30,2025-01-06 10:45:00+05:30,1254.1,1244.948214285714,1270.573214285714,-9.1518,L
S022,RELIANCE,2025-01-06 12:20:00+05:30,-0.395,-0.469,0,,0.961,50.0,-1.0,0,0.4964,0.0,3,0,0,0,3,4,2025-01-06 12:35:00+05:30,2025-01-06 12:40:00+05:30,2025-01-06 13:30:00+05:30,1235.2,1225.0928571428572,1253.392857142857,-10.1071,L
S023,RELIANCE,2025-01-06 12:45:00+05:30,-0.1274,-0.2966,1,1.0,0.1621,41.27,1.2764,0,0.4565,,0,0,0,1,0,1,2025-01-06 12:45:00+05:30,2025-01-06 12:50:00+05:30,2025-01-06 13:30:00+05:30,1234.6,1225.1178571428572,1251.667857142857,-9.4821,L
S024,RELIANCE,2025-01-07 09:15:00+05:30,,,0,,0.3271,77.59,-0.3548,0,3.4696,,0,0,0,1,0,1,2025-01-07 09:15:00+05:30,2025-01-07 09:20:00+05:30,2025-01-07 15:00:00+05:30,1228.3,1219.4160714285713,1244.2910714285713,11.1,EOD+
S025,RELIANCE,2025-01-07 12:20:00+05:30,-0.02,0.0599,0,,0.9498,9.52,-0.4275,0,1.9282,1.0,3,0,0,0,3,4,2025-01-07 12:35:00+05:30,2025-01-07 12:40:00+05:30,2025-01-07 15:00:00+05:30,1240.25,1236.5714285714284,1246.8714285714286,-0.85,EOD-
S026,RELIANCE,2025-01-07 12:45:00+05:30,0.0216,-0.0157,0,,0.0097,23.68,52.3333,0,1.6237,,0,0,0,1,0,1,2025-01-07 12:45:00+05:30,2025-01-07 12:50:00+05:30,2025-01-07 14:10:00+05:30,1241.3,1237.4517857142855,1248.2267857142858,-3.8482,L
S027,RELIANCE,2025-01-07 13:15:00+05:30,0.0099,0.0236,5,1.0,0.1286,29.41,1.0,0,1.0646,,0,0,1,1,0,1,2025-01-07 13:15:00+05:30,2025-01-07 13:20:00+05:30,2025-01-07 14:30:00+05:30,1240.4,1236.9982142857143,1246.5232142857144,-3.4018,L
