Price,Close,High,Low,Open,Volume,MA50,MA100,MA200
Ticker,SUZLON.NS,SUZLON.NS,SUZLON.NS,SUZLON.NS,SUZLON.NS,,,
Date,,,,,,,,
2024-01-01,38.5,38.599998474121094,38.0,38.5,35078873,,,
2024-01-02,38.25,38.79999923706055,37.099998474121094,38.70000076293945,30864924,,,
2024-01-03,37.79999923706055,38.25,37.70000076293945,38.25,21788140,,,
2024-01-04,38.70000076293945,39.29999923706055,37.75,37.79999923706055,38232279,,,
2024-01-05,40.599998474121094,40.599998474121094,38.70000076293945,38.900001525878906,75799676,,,
2024-01-08,42.599998474121094,42.599998474121094,40.0,41.5,92602484,,,
2024-01-09,43.54999923706055,44.0,41.5,43.25,103582158,,,
2024-01-10,43.54999923706055,44.20000076293945,42.29999923706055,44.099998474121094,54417493,,,
2024-01-11,43.599998474121094,44.0,42.70000076293945,43.900001525878906,48037394,,,
2024-01-12,44.900001525878906,45.400001525878906,43.150001525878906,43.79999923706055,88210161,,,
2024-01-15,43.849998474121094,45.70000076293945,43.70000076293945,45.20000076293945,73414515,,,
2024-01-16,42.04999923706055,44.20000076293945,41.650001525878906,44.0,73662300,,,
2024-01-17,40.900001525878906,42.650001525878906,40.349998474121094,41.5,62350656,,,
2024-01-18,42.900001525878906,42.900001525878906,40.099998474121094,40.900001525878906,77361249,,,
2024-01-19,41.849998474121094,44.45000076293945,41.45000076293945,43.5,118653572,,,
2024-01-23,41.150001525878906,43.0,40.20000076293945,42.5,61821069,,,
2024-01-24,41.20000076293945,41.599998474121094,40.349998474121094,41.599998474121094,33524849,,,
2024-01-25,42.54999923706055,43.0,40.900001525878906,41.650001525878906,53839790,,,
2024-01-29,43.25,43.849998474121094,42.54999923706055,43.0,64987571,,,
2024-01-30,43.79999923706055,44.849998474121094,42.75,43.5,88270852,,,
2024-01-31,45.95000076293945,45.95000076293945,44.20000076293945,44.400001525878906,145374835,,,
2024-02-01,48.20000076293945,48.20000076293945,47.0,47.29999923706055,195541083,,,
2024-02-02,48.599998474121094,50.599998474121094,48.0,49.900001525878906,219513812,,,
2024-02-05,48.25,50.0,47.5,49.599998474121094,112297989,,,
2024-02-06,48.0,48.79999923706055,47.20000076293945,48.79999923706055,53168885,,,
2024-02-07,49.25,49.95000076293945,48.20000076293945,48.20000076293945,64866228,,,
