trial,raw_cagr,gate_logic,active_filters,n_active,thresh_PF8,thresh_PF9,thresh_VF3,thresh_TF4_lo,thresh_TF4_hi,thresh_MF4,thresh_VL1_vol,thresh_MF6,thresh_TF5,thresh_MF7,use_PF1,dir_PF1,use_PF2,dir_PF2,use_PF3,dir_PF3,use_PF4,dir_PF4,use_PF5,dir_PF5,use_PF6,dir_PF6,use_PF7,dir_PF7,use_PF8,dir_PF8,use_PF9,dir_PF9,use_PF10,dir_PF10,use_VF1,dir_VF1,use_VF2,dir_VF2,use_VF3,dir_VF3,use_TF1,dir_TF1,use_TF2,dir_TF2,use_TF3,dir_TF3,use_TF4,dir_TF4,use_TF5,dir_TF5,use_VL1,dir_VL1,use_VL2,dir_VL2,use_MF1,dir_MF1,use_MF2,dir_MF2,use_MF3,dir_MF3,use_MF4,dir_MF4,use_MF5,dir_MF5,use_MF6,dir_MF6,use_MF7,dir_MF7,use_SF1,dir_SF1
1939,-119.3823,OR,PF2|PF3|PF5|PF6|PF7|PF9|VF1|VF2|VF3|TF2|VL2|MF4|MF5|MF6|MF7|SF1,16,0.8210804904317217,1.2688674352923806,0.682729588273977,-0.03572826820791855,0.05924882535024322,1.1881618608541384,1.4773179038775819,0.015313351858762024,0.010072815138279097,0.013235677273816682,False,True,True,True,True,False,False,False,True,True,True,False,True,True,False,True,True,True,False,True,True,True,True,True,True,False,False,False,True,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,True,True,True,True,True,True,True
2168,-119.3823,OR,PF2|PF3|PF5|PF6|PF7|PF8|VF3|TF1|TF2|VL2|MF1|MF2|MF3|MF4|MF5|MF7,16,0.9488415437737104,1.2723545857094827,0.4215600861997392,-0.036411486305046786,0.09780692372256733,1.012617010055809,0.880119517782396,0.005672705106808599,0.013349894467610281,-0.0164672465096083,False,True,True,True,True,True,False,True,True,True,True,False,True,False,True,True,False,True,False,False,False,True,False,True,True,False,True,False,True,True,False,True,False,True,False,False,False,True,True,False,True,False,True,True,True,True,True,False,True,True,False,False,True,False,False,True
2440,-119.3823,OR,PF2|PF3|PF4|PF5|PF6|PF7|PF8|PF9|PF10|VF1|VF3|TF1|TF2|TF4|TF5|VL1|VL2|MF4|MF5|MF6|MF7,21,0.9391812840555377,1.2180310177945548,0.4223005045731859,-0.00937509714975353,0.05345678392517403,1.1933969014671248,0.9399940937903505,0.00531897627997494,0.01917744547283309,-0.02607541349442338,False,False,True,False,True,True,True,True,True,True,True,False,True,False,True,True,True,True,True,True,True,True,False,True,True,False,True,False,True,True,False,False,True,True,True,False,True,True,True,True,False,False,False,True,False,False,True,False,True,False,True,False,True,False,False,True
2527,-119.3823,OR,PF2|PF3|PF4|PF5|PF6|PF8|PF9|PF10|VF1|VF3|TF1|TF2|TF4|TF5|VL1|VL2|MF4|MF6|MF7,19,0.9382243840031189,1.219334219122661,0.3226592525858536,-0.015648016751490117,0.05696580044525441,1.2616385555987757,0.9614628633405923,0.007307922429956626,0.018968267608822406,-0.020406264336602226,False,False,True,False,True,True,True,True,True,True,True,False,False,False,True,True,True,True,True,True,True,True,False,True,True,False,True,False,True,True,False,False,True,True,True,False,True,True,True,True,False,False,False,True,False,False,True,False,False,False,True,False,True,False,False,True
2488,-119.3832,OR,PF2|PF3|PF5|PF6|PF7|PF8|PF9|VF2|VF3|TF1|TF2|TF3|TF5|VL1|VL2|MF1|MF4|MF5,18,0.9465874058948267,1.2715323396252827,0.40627492551916383,-0.02447309910410294,0.0564170856473801,0.9328610280337005,0.8303221109901713,0.010192814997532745,0.006309404281295631,-0.01996576358297483,False,True,True,True,True,True,False,True,True,True,True,False,True,False,True,True,True,True,False,False,False,True,True,True,True,False,True,False,True,True,True,True,False,True,True,False,True,True,True,False,True,False,False,True,False,True,True,False,True,True,False,False,False,False,False,True
2621,-119.3833,OR,PF2|PF5|PF6|PF7|PF8|PF9|VF3|TF2|VL2|MF1|MF4|MF5,12,0.943698421899626,1.2571791219844757,0.4178115205947193,-0.04974998842794548,0.08601477894353407,0.9672062424351382,1.2357935827680446,0.005221226966061864,0.01923451995139373,-0.0010081231765556482,False,True,True,True,False,True,False,False,True,True,True,False,True,True,True,True,True,True,False,True,False,True,False,False,True,False,False,False,True,True,False,True,False,True,False,True,False,True,True,True,True,False,False,True,False,True,True,False,True,False,False,False,False,False,False,True
2015,-119.3857,OR,PF2|PF3|PF5|PF6|PF8|PF9|VF1|VF3|TF2|TF5|VL1|VL2|MF3|MF4|MF5|MF6,16,0.9407819652732823,1.2829748935546084,0.6410392404661607,-0.03597720613380766,0.059286814098925694,0.8965104626861579,1.0731720196904955,0.010035492608655813,0.008012187322870816,-0.020765447201132596,False,True,True,True,True,True,False,True,True,True,True,False,False,True,True,True,True,True,False,False,True,True,False,False,True,False,False,False,True,True,False,False,False,True,True,False,True,True,True,False,False,False,False,False,True,True,True,False,True,False,True,False,False,False,False,True
1910,-119.3865,OR,PF2|PF3|PF5|PF6|PF8|PF9|VF1|VF3|TF2|TF5|VL1|VL2|MF1|MF3|MF4|MF5,16,0.9424426173192522,1.2363354054940368,0.5725406441733285,-0.04291596452095385,0.06377170409137096,1.0344982843528212,1.1423546923453487,0.008944197580697633,0.006753746283381278,-0.017849464669821357,False,True,True,True,True,False,False,True,True,True,True,False,False,True,True,True,True,True,False,False,True,True,False,False,True,False,False,True,True,False,False,False,False,True,True,False,True,True,True,False,True,False,False,True,True,True,True,False,True,False,False,False,False,False,False,True
2549,-119.3867,OR,PF2|PF3|PF5|PF6|PF7|PF8|PF9|VF3|TF2|VL2|MF1|MF4|MF5,13,0.9399849827096449,1.2954669020162672,0.440604271751288,-0.04771057782805565,0.09241153762309624,1.0038509078440243,1.038626112652468,0.010217307039503546,0.01892204560154486,-0.028059732817542565,False,True,True,True,True,True,False,True,True,True,True,False,True,True,True,True,True,True,False,True,False,True,False,False,True,False,False,False,True,True,False,True,False,True,False,False,False,True,True,True,True,False,False,True,False,True,True,False,True,False,False,False,False,False,False,True
2136,-119.3873,OR,PF2|PF3|PF5|PF6|PF7|PF8|PF9|VF1|VF3|TF2|VL2|MF1|MF3|MF4|MF5,15,0.9415260703099942,1.2292310866110618,0.5848151462360959,-0.03674417040389054,0.08953413090076287,0.885665131165472,1.1639322055418018,0.008412862212278473,0.011057686897017107,-0.028110947396869167,False,True,True,True,True,True,False,True,True,True,True,False,True,True,True,True,True,True,False,True,True,True,False,False,True,False,False,False,True,True,False,False,False,True,False,False,False,True,True,True,True,False,False,True,True,True,True,False,True,False,False,False,False,False,False,True
