date,time,symbol,open,high,low,close,volume,MA20,MA50,MA100,MA200,Price_Above_MA50,Price_Above_MA100,Price_Above_MA200,MA20_Above_MA50,MA20_Above_MA100,MA20_Above_MA200,Distance_MA20_%,Distance_MA50_%
2024-12-31,15:29:00,TATASTEEL,138.03,138.15,137.91,138.1,60554,,,,,False,False,False,False,False,False,,
2024-12-31,15:28:00,TATASTEEL,138.01,138.03,137.9,138.0,96557,,,,,False,False,False,False,False,False,,
2024-12-31,15:27:00,TATASTEEL,138.03,138.05,137.93,138.03,109067,,,,,False,False,False,False,False,False,,
2024-12-31,15:26:00,TATASTEEL,138.07,138.08,138.01,138.03,80756,,,,,False,False,False,False,False,False,,
2024-12-31,15:25:00,TATASTEEL,138.1,138.11,138.0,138.08,91438,,,,,False,False,False,False,False,False,,
2024-12-31,15:24:00,TATASTEEL,138.11,138.12,138.01,138.11,97104,,,,,False,False,False,False,False,False,,
2024-12-31,15:23:00,TATASTEEL,138.08,138.12,138.04,138.09,69258,,,,,False,False,False,False,False,False,,
2024-12-31,15:22:00,TATASTEEL,138.18,138.19,138.05,138.08,93275,,,,,False,False,False,False,False,False,,
2024-12-31,15:21:00,TATASTEEL,138.16,138.18,138.06,138.18,111313,,,,,False,False,False,False,False,False,,
2024-12-31,15:20:00,TATASTEEL,138.08,138.17,137.9,138.16,259649,,,,,False,False,False,False,False,False,,
2024-12-31,15:19:00,TATASTEEL,138.13,138.13,138.05,138.07,93059,,,,,False,False,False,False,False,False,,
2024-12-31,15:18:00,TATASTEEL,138.07,138.13,138.01,138.12,186950,,,,,False,False,False,False,False,False,,
2024-12-31,15:17:00,TATASTEEL,138.15,138.15,138.03,138.07,67691,,,,,False,False,False,False,False,False,,
2024-12-31,15:16:00,TATASTEEL,138.07,138.21,138.02,138.15,176851,,,,,False,False,False,False,False,False,,
2024-12-31,15:15:00,TATASTEEL,138.19,138.19,137.98,138.07,190202,,,,,False,False,False,False,False,False,,
2024-12-31,15:14:00,TATASTEEL,138.19,138.24,138.15,138.19,84124,,,,,False,False,False,False,False,False,,
2024-12-31,15:13:00,TATASTEEL,138.12,138.19,138.08,138.19,120772,,,,,False,False,False,False,False,False,,
2024-12-31,15:12:00,TATASTEEL,138.19,138.19,138.08,138.12,57258,,,,,False,False,False,False,False,False,,
2024-12-31,15:11:00,TATASTEEL,138.04,138.19,138.03,138.19,131660,,,,,False,False,False,False,False,False,,
2024-12-31,15:10:00,TATASTEEL,138.1,138.1,138.03,138.04,97181,138.1035,,,,False,False,False,False,False,False,-0.05,
2024-12-31,15:09:00,TATASTEEL,138.11,138.11,138.03,138.1,72991,138.1035,,,,False,False,False,False,False,False,-0.0,
2024-12-31,15:08:00,TATASTEEL,138.05,138.14,137.98,138.11,88399,138.109,,,,False,False,False,False,False,False,0.0,
2024-12-31,15:07:00,TATASTEEL,138.05,138.13,138.02,138.05,93489,138.10999999999999,,,,False,False,False,False,False,False,-0.04,
2024-12-31,15:06:00,TATASTEEL,138.07,138.09,137.97,138.05,91716,138.11100000000002,,,,False,False,False,False,False,False,-0.04,
2024-12-31,15:05:00,TATASTEEL,137.96,138.1,137.91,138.07,112585,138.1105,,,,False,False,False,False,False,False,-0.03,
2024-12-31,15:04:00,TATASTEEL,137.9,138.0,137.82,137.91,116905,138.1005,,,,False,False,False,False,False,False,-0.14,
2024-12-31,15:03:00,TATASTEEL,137.94,137.97,137.82,137.89,134480,138.0905,,,,False,False,False,False,False,False,-0.15,
2024-12-31,15:02:00,TATASTEEL,138.02,138.03,137.91,137.94,59195,138.08350000000002,,,,False,False,False,False,False,False,-0.1,
2024-12-31,15:01:00,TATASTEEL,138.05,138.05,137.9,138.02,175872,138.07549999999998,,,,False,False,False,False,False,False,-0.04,
2024-12-31,15:00:00,TATASTEEL,138.39,138.39,138.01,138.03,125560,138.06900000000002,,,,False,False,False,False,False,False,-0.03,
2024-12-31,14:59:00,TATASTEEL,138.35,138.42,138.3,138.38,19331,138.0845,,,,False,False,False,False,False,False,0.21,
2024-12-31,14:58:00,TATASTEEL,138.35,138.39,138.3,138.35,15395,138.096,,,,False,False,False,False,False,False,0.18,
2024-12-31,14:57:00,TATASTEEL,138.32,138.38,138.27,138.36,17122,138.1105,,,,False,False,False,False,False,False,0.18,
2024-12-31,14:56:00,TATASTEEL,138.34,138.38,138.26,138.32,12379,138.119,,,,False,False,False,False,False,False,0.15,
2024-12-31,14:55:00,TATASTEEL,138.28,138.35,138.25,138.34,14133,138.1325,,,,False,False,False,False,False,False,0.15,
2024-12-31,14:54:00,TATASTEEL,138.32,138.35,138.25,138.28,10609,138.137,,,,False,False,False,False,False,False,0.1,
2024-12-31,14:53:00,TATASTEEL,138.26,138.32,138.25,138.32,18858,138.14350000000002,,,,False,False,False,False,False,False,0.13,
2024-12-31,14:52:00,TATASTEEL,138.38,138.42,138.25,138.26,80196,138.1505,,,,False,False,False,False,False,False,0.08,
2024-12-31,14:51:00,TATASTEEL,138.38,138.4,138.3,138.4,29289,138.161,,,,False,False,False,False,False,False,0.17,
2024-12-31,14:50:00,TATASTEEL,138.33,138.4,138.31,138.4,23119,138.179,,,,False,False,False,False,False,False,0.16,
2024-12-31,14:49:00,TATASTEEL,138.3,138.35,138.28,138.32,16950,138.19,,,,False,False,False,False,False,False,0.09,
2024-12-31,14:48:00,TATASTEEL,138.27,138.39,138.25,138.31,24379,138.2,,,,False,False,False,False,False,False,0.08,
2024-12-31,14:47:00,TATASTEEL,138.21,138.29,138.2,138.27,13496,138.211,,,,False,False,False,False,False,False,0.04,
2024-12-31,14:46:00,TATASTEEL,138.25,138.29,138.2,138.27,25387,138.222,,,,False,False,False,False,False,False,0.03,
2024-12-31,14:45:00,TATASTEEL,138.15,138.31,138.14,138.25,41764,138.231,,,,False,False,False,False,False,False,0.01,
2024-12-31,14:44:00,TATASTEEL,138.13,138.2,138.06,138.15,17432,138.243,,,,False,False,False,False,False,False,-0.07,
2024-12-31,14:43:00,TATASTEEL,138.09,138.13,138.02,138.13,16848,138.255,,,,False,False,False,False,False,False,-0.09,
2024-12-31,14:42:00,TATASTEEL,138.05,138.1,138.01,138.1,20311,138.263,,,,False,False,False,False,False,False,-0.12,
2024-12-31,14:41:00,TATASTEEL,138.07,138.13,138.0,138.09,78931,138.2665,,,,False,False,False,False,False,False,-0.13,
2024-12-31,14:40:00,TATASTEEL,138.18,138.2,138.06,138.13,39413,138.2715,138.1534,,,False,False,False,True,False,False,-0.1,-0.02
2024-12-31,14:39:00,TATASTEEL,138.05,138.24,138.05,138.19,22968,138.262,138.15519999999998,,,True,False,False,True,False,False,-0.05,0.03
2024-12-31,14:38:00,TATASTEEL,138.09,138.12,138.02,138.1,24750,138.2495,138.1572,,,False,False,False,True,False,False,-0.11,-0.04
2024-12-31,14:37:00,TATASTEEL,138.1,138.11,138.01,138.03,50427,138.233,138.1572,,,False,False,False,True,False,False,-0.15,-0.09
2024-12-31,14:36:00,TATASTEEL,138.12,138.13,138.05,138.1,17294,138.222,138.1586,,,False,False,False,True,False,False,-0.09,-0.04
2024-12-31,14:35:00,TATASTEEL,138.15,138.2,138.05,138.12,27888,138.21099999999998,138.1594,,,False,False,False,True,False,False,-0.07,-0.03
2024-12-31,14:34:00,TATASTEEL,138.18,138.23,138.13,138.13,30315,138.20350000000002,138.1598,,,False,False,False,True,False,False,-0.05,-0.02
2024-12-31,14:33:00,TATASTEEL,138.27,138.27,138.12,138.23,27426,138.199,138.1626,,,True,False,False,True,False,False,0.02,0.05
2024-12-31,14:32:00,TATASTEEL,138.22,138.28,138.2,138.27,23155,138.1995,138.16639999999998,,,True,False,False,True,False,False,0.05,0.07
