trial,cagr,gate_logic,active_filters,thresh_PF8,thresh_PF9,thresh_VF3,thresh_TF4_lo,thresh_TF4_hi,thresh_MF4,thresh_VL1_vol,use_PF1,use_PF2,use_PF3,use_PF4,use_PF5,use_PF6,use_PF7,use_PF8,dir_PF8,use_PF9,use_VF1,use_VF2,use_VF3,use_TF1,use_TF2,use_TF3,dir_TF3,use_TF4,use_VL1,use_VL2,use_MF1,use_MF2,use_MF3,use_MF4,dir_MF4,use_MF5,dir_VL1,dir_PF9
2337,2.6902,OR,PF8|TF3|MF4,0.7497439017107547,1.2355902137253076,0.400041241347952,-0.046331375751630946,0.030994108228266315,1.2985645287053385,1.3785215612518726,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True,False,,
2662,2.5504,OR,TF3|MF4,0.8825408250847083,1.299064893141888,0.4574951447186507,-0.03964647915216855,0.07092899676700024,1.2727353616735542,1.2338042525614932,False,False,False,False,False,False,False,False,,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True,False,,
2975,2.4483,OR,TF3|MF4,0.9218513569479616,1.2037471491804208,0.6772498495937725,-0.008959303142764816,0.025277470253029982,1.2324680597520823,1.1191341059689874,False,False,False,False,False,False,False,False,,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True,False,,
2916,2.4308,OR,TF3|VL1|MF4,0.919253470987608,1.2763630431221147,0.6281444406281399,-0.016791685856044635,0.06961092802030332,1.2874409132869902,1.4813407305400619,False,False,False,False,False,False,False,False,,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,True,False,True,
2961,2.3122,OR,TF3|VL1|MF4,0.9260601123693397,1.2159426388505283,0.5936144416739151,-0.023588344826593326,0.07710321100113765,1.2936285250448691,1.4203866884514247,False,False,False,False,False,False,False,False,,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,True,False,True,
2142,2.2815,OR,TF3|VL1|MF4,0.7511933564796411,1.2127914389349903,0.3479154357744598,-0.03814474619647838,0.03864995280481816,1.2978488211908792,1.4740366297099587,False,False,False,False,False,False,False,False,,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,True,False,True,
2130,2.2156,OR,TF3|VL1|MF4,0.7602957805185699,1.100112317118802,0.31043584737217517,-0.03903792095471116,0.04275806835508893,1.284782752332334,1.4582995371438612,False,False,False,False,False,False,False,False,,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,True,False,True,
2326,2.1436,OR,TF3|MF4,0.8208563167952311,1.299415851680498,0.4358710520278658,-0.04110228705481554,0.02263626641683986,1.240156759923004,1.3208078014497007,False,False,False,False,False,False,False,False,,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True,False,,
2973,2.1267,OR,TF3|MF4,0.9198472192738046,1.2675178068309632,0.6198755137370061,-0.015471041058963802,0.037712215102243374,1.2671881380827477,1.3551390855828231,False,False,False,False,False,False,False,False,,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True,False,,
2667,2.1123,OR,TF3|MF4,0.9001759814794894,1.2498338957812165,0.5069958498961045,-0.03845450967371265,0.061765012834969914,1.2434164081368744,1.4541239743694185,False,False,False,False,False,False,False,False,,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True,False,,
