date,time,symbol,open,high,low,close,volume,MA20,MA50,MA100,MA200,Price_Above_MA50,Price_Above_MA100,Price_Above_MA200,MA20_Above_MA50,MA20_Above_MA100,MA20_Above_MA200,Distance_MA20_%,Distance_MA50_%
2024-12-31,15:29:00,IDEA,7.94,7.94,7.93,7.94,2310761,,,,,False,False,False,False,False,False,,
2024-12-31,15:28:00,IDEA,7.94,7.94,7.93,7.94,833122,,,,,False,False,False,False,False,False,,
2024-12-31,15:27:00,IDEA,7.95,7.95,7.93,7.94,4075909,,,,,False,False,False,False,False,False,,
2024-12-31,15:26:00,IDEA,7.94,7.95,7.93,7.95,2322115,,,,,False,False,False,False,False,False,,
2024-12-31,15:25:00,IDEA,7.95,7.96,7.93,7.94,4408584,,,,,False,False,False,False,False,False,,
2024-12-31,15:24:00,IDEA,7.95,7.96,7.94,7.95,2490034,,,,,False,False,False,False,False,False,,
2024-12-31,15:23:00,IDEA,7.94,7.95,7.93,7.95,1340685,,,,,False,False,False,False,False,False,,
2024-12-31,15:22:00,IDEA,7.94,7.94,7.93,7.94,1294143,,,,,False,False,False,False,False,False,,
2024-12-31,15:21:00,IDEA,7.94,7.94,7.93,7.94,626010,,,,,False,False,False,False,False,False,,
2024-12-31,15:20:00,IDEA,7.96,7.96,7.93,7.93,6664059,,,,,False,False,False,False,False,False,,
2024-12-31,15:19:00,IDEA,7.95,7.96,7.94,7.96,2227747,,,,,False,False,False,False,False,False,,
2024-12-31,15:18:00,IDEA,7.95,7.95,7.94,7.95,1094393,,,,,False,False,False,False,False,False,,
2024-12-31,15:17:00,IDEA,7.94,7.95,7.93,7.95,2033372,,,,,False,False,False,False,False,False,,
2024-12-31,15:16:00,IDEA,7.93,7.94,7.92,7.94,2932271,,,,,False,False,False,False,False,False,,
2024-12-31,15:15:00,IDEA,7.92,7.93,7.92,7.93,2460379,,,,,False,False,False,False,False,False,,
2024-12-31,15:14:00,IDEA,7.94,7.94,7.92,7.93,3513540,,,,,False,False,False,False,False,False,,
2024-12-31,15:13:00,IDEA,7.95,7.95,7.93,7.94,1917063,,,,,False,False,False,False,False,False,,
2024-12-31,15:12:00,IDEA,7.95,7.95,7.94,7.95,1083481,,,,,False,False,False,False,False,False,,
2024-12-31,15:11:00,IDEA,7.95,7.95,7.94,7.95,1347541,,,,,False,False,False,False,False,False,,
2024-12-31,15:10:00,IDEA,7.94,7.96,7.94,7.95,3660982,7.9435,,,,False,False,False,False,False,False,0.08,
2024-12-31,15:09:00,IDEA,7.94,7.94,7.93,7.93,454019,7.9430000000000005,,,,False,False,False,False,False,False,-0.16,
2024-12-31,15:08:00,IDEA,7.93,7.94,7.92,7.93,1594768,7.9425,,,,False,False,False,False,False,False,-0.16,
2024-12-31,15:07:00,IDEA,7.93,7.93,7.92,7.92,1638521,7.9415000000000004,,,,False,False,False,False,False,False,-0.27,
2024-12-31,15:06:00,IDEA,7.94,7.95,7.92,7.93,3266093,7.9405,,,,False,False,False,False,False,False,-0.13,
2024-12-31,15:05:00,IDEA,7.95,7.95,7.93,7.94,1723210,7.9405,,,,False,False,False,False,False,False,-0.01,
2024-12-31,15:04:00,IDEA,7.93,7.95,7.93,7.95,2452377,7.9405,,,,False,False,False,False,False,False,0.12,
2024-12-31,15:03:00,IDEA,7.95,7.95,7.93,7.94,1735227,7.9399999999999995,,,,False,False,False,False,False,False,0.0,
2024-12-31,15:02:00,IDEA,7.96,7.97,7.94,7.95,2906479,7.9405,,,,False,False,False,False,False,False,0.12,
2024-12-31,15:01:00,IDEA,7.96,7.97,7.95,7.96,3852841,7.9415,,,,False,False,False,False,False,False,0.23,
2024-12-31,15:00:00,IDEA,7.98,7.98,7.95,7.95,5130635,7.9425,,,,False,False,False,False,False,False,0.09,
2024-12-31,14:59:00,IDEA,7.98,7.98,7.97,7.98,225782,7.9435,,,,False,False,False,False,False,False,0.46,
2024-12-31,14:58:00,IDEA,7.98,7.99,7.97,7.98,1294199,7.945,,,,False,False,False,False,False,False,0.44,
2024-12-31,14:57:00,IDEA,7.99,7.99,7.97,7.98,1200819,7.9465,,,,False,False,False,False,False,False,0.42,
2024-12-31,14:56:00,IDEA,7.98,7.99,7.96,7.98,2380904,7.9485,,,,False,False,False,False,False,False,0.4,
2024-12-31,14:55:00,IDEA,7.98,7.99,7.97,7.97,1900828,7.9505,,,,False,False,False,False,False,False,0.25,
2024-12-31,14:54:00,IDEA,7.98,7.98,7.97,7.98,423446,7.953,,,,False,False,False,False,False,False,0.34,
2024-12-31,14:53:00,IDEA,7.98,7.98,7.97,7.98,420716,7.955,,,,False,False,False,False,False,False,0.31,
2024-12-31,14:52:00,IDEA,7.98,7.98,7.97,7.98,1151973,7.9565,,,,False,False,False,False,False,False,0.3,
2024-12-31,14:51:00,IDEA,7.98,7.98,7.97,7.98,556622,7.958,,,,False,False,False,False,False,False,0.28,
2024-12-31,14:50:00,IDEA,7.97,7.98,7.96,7.98,547839,7.9595,,,,False,False,False,False,False,False,0.26,
2024-12-31,14:49:00,IDEA,7.98,7.98,7.96,7.97,1006520,7.961499999999999,,,,False,False,False,False,False,False,0.11,
2024-12-31,14:48:00,IDEA,7.96,7.98,7.96,7.97,1776037,7.963500000000001,,,,False,False,False,False,False,False,0.08,
2024-12-31,14:47:00,IDEA,7.99,7.99,7.96,7.97,2589308,7.965999999999999,,,,False,False,False,False,False,False,0.05,
2024-12-31,14:46:00,IDEA,8.03,8.05,7.98,7.99,6057503,7.968999999999999,,,,False,False,False,False,False,False,0.26,
2024-12-31,14:45:00,IDEA,8.0,8.04,7.99,8.03,2059930,7.9735,,,,False,False,False,False,False,False,0.71,
2024-12-31,14:44:00,IDEA,7.98,8.0,7.96,8.0,3379745,7.976000000000001,,,,False,False,False,False,False,False,0.3,
2024-12-31,14:43:00,IDEA,8.0,8.0,7.97,7.98,3135417,7.978,,,,False,False,False,False,False,False,0.03,
