symbol    , entry_dt           , entry , sl                , tp                , exit_dt            , exit_price        , outcome, pnl                 , touch_dt           , atr_pct_at_touch   , hidden_atr_pct_rollmean40
TATAMOTORS, 2023-01-02 11:05:00, 271.3 , 272.2357142857143 , 269.19464285714287, 2023-01-02 12:10:00, 272.2357142857143 , L      , -0.9357142857143117 , 2023-01-02 11:00:00, 0.17248189598420044,       0.2707589561782421
TATAMOTORS, 2023-01-02 13:40:00, 271.75, 272.43571428571425, 270.20714285714286, 2023-01-02 14:45:00, 272.43571428571425, L      , -0.6857142857142549 , 2023-01-02 13:35:00, 0.1261663819161507 ,       0.16668019261839714
TATAMOTORS, 2023-01-04 13:00:00, 266.0 , 266.8             , 264.2             , 2023-01-04 13:50:00, 266.8             , L      , -0.8000000000000114 , 2023-01-04 12:55:00, 0.15037593984962316,       0.18447328473411834
TATAMOTORS, 2023-01-05 11:30:00, 266.3 , 267.25714285714287, 264.1464285714286 , 2023-01-05 13:05:00, 264.1464285714286 , W      , 2.1535714285714107  , 2023-01-05 11:25:00, 0.1797113888739841 ,       0.23487205945927334
TATAMOTORS, 2023-01-05 14:00:00, 264.75, 265.97142857142853, 262.00178571428575, 2023-01-05 14:25:00, 265.97142857142853, L      , -1.2214285714285325 , 2023-01-05 13:55:00, 0.23071941281234548,       0.19299039683858338
TATAMOTORS, 2023-01-06 11:25:00, 265.15, 266.0285714285714 , 263.17321428571427, 2023-01-06 12:55:00, 263.17321428571427, W      , 1.976785714285711   , 2023-01-06 11:20:00, 0.16567441609870365,       0.26031618946961715
TATAMOTORS, 2023-01-09 12:20:00, 269.5 , 270.3285714285714 , 267.6357142857143 , 2023-01-09 13:10:00, 267.6357142857143 , W      , 1.8642857142856997  , 2023-01-09 12:15:00, 0.15372382719321523,       0.257569338178143
TATAMOTORS, 2023-01-11 11:05:00, 286.65, 287.6428571428571 , 284.4160714285714 , 2023-01-11 12:20:00, 287.6428571428571 , L      , -0.9928571428571331 , 2023-01-11 11:00:00, 0.17321303957730863,       0.4324253225553588
TATAMOTORS, 2023-01-11 14:05:00, 288.05, 288.6857142857143 , 286.6196428571429 , 2023-01-11 14:20:00, 288.6857142857143 , L      , -0.6357142857143003 , 2023-01-11 14:00:00, 0.1103670634920618 ,       0.14430165837202485
TATAMOTORS, 2023-01-12 09:30:00, 288.15, 289.6428571428571 , 284.7910714285714 , 2023-01-12 12:15:00, 284.7910714285714 , W      , 3.358928571428578   , 2023-01-12 09:25:00, 0.2590416697652524 ,       0.1625661110328571
