symbol,split,bucket,n,pnl,pf,zpnl,zpf
JSWSTEEL,test,SHORT gated (NIFTY c=0),31,-33.1,0.645,-63.41,0.444
NATIONALUM,train,SHORT baseline,2682,170.15,1.3,4.08,1.006
NATIONALUM,train,SHORT gated (NIFTY c=0),213,-17.32,0.706,-29.49,0.558
NATIONALUM,test,SHORT baseline,864,118.67,1.263,-31.32,0.942
NATIONALUM,test,SHORT gated (NIFTY c=0),19,14.88,4.047,11.48,2.819
NTPC,train,SHORT baseline,2710,185.04,1.224,-172.1,0.834
NTPC,train,SHORT gated (NIFTY c=0),197,25.46,1.411,1.27,1.017
NTPC,test,SHORT baseline,908,220.95,1.342,-79.04,0.903
NTPC,test,SHORT gated (NIFTY c=0),25,17.78,1.819,9.04,1.342
ONGC,train,SHORT baseline,2664,232.76,1.261,-137.02,0.877
ONGC,train,SHORT gated (NIFTY c=0),181,-1.8,0.974,-24.88,0.699
ONGC,test,SHORT baseline,888,53.34,1.115,-154.24,0.738
ONGC,test,SHORT gated (NIFTY c=0),21,9.79,1.817,4.8,1.33
PNB,train,SHORT baseline,2788,216.64,1.28,-20.17,0.978
PNB,train,SHORT gated (NIFTY c=0),196,6.55,1.127,-6.9,0.883
PNB,test,SHORT baseline,916,70.16,1.304,-21.91,0.923
PNB,test,SHORT gated (NIFTY c=0),19,5.21,3.538,3.29,2.011
POWERGRID,train,SHORT baseline,2699,76.14,1.107,-233.25,0.743
POWERGRID,train,SHORT gated (NIFTY c=0),180,23.11,1.517,3.44,1.062
POWERGRID,test,SHORT baseline,942,56.39,1.097,-210.88,0.716
POWERGRID,test,SHORT gated (NIFTY c=0),25,6.83,1.401,-0.82,0.961
RELIANCE,train,SHORT baseline,2792,962.69,1.247,-939.67,0.812
RELIANCE,train,SHORT gated (NIFTY c=0),202,107.7,1.329,-26.53,0.934
RELIANCE,test,SHORT baseline,921,330.36,1.16,-966.07,0.658
RELIANCE,test,SHORT gated (NIFTY c=0),30,-1.66,0.978,-41.59,0.569
SBIN,train,SHORT baseline,2790,614.19,1.263,-319.76,0.889
SBIN,train,SHORT gated (NIFTY c=0),206,51.0,1.256,-13.8,0.942
SBIN,test,SHORT baseline,955,165.39,1.123,-580.8,0.678
SBIN,test,SHORT gated (NIFTY c=0),27,19.3,1.493,-1.95,0.962
SUNPHARMA,train,SHORT baseline,2773,1093.52,1.237,-811.5,0.858
SUNPHARMA,train,SHORT gated (NIFTY c=0),198,254.35,1.79,112.56,1.286
SUNPHARMA,test,SHORT baseline,901,-663.53,0.775,-2093.22,0.466
SUNPHARMA,test,SHORT gated (NIFTY c=0),27,-4.42,0.956,-50.05,0.612
TATAMOTORS,train,SHORT baseline,2773,487.83,1.276,-175.43,0.918
TATAMOTORS,train,SHORT gated (NIFTY c=0),208,25.59,1.196,-18.26,0.883
TATAMOTORS,test,SHORT baseline,865,395.68,1.446,-67.65,0.94
TATAMOTORS,test,SHORT gated (NIFTY c=0),29,41.17,2.211,25.71,1.625
TATASTEEL,train,SHORT baseline,2794,74.92,1.142,-91.49,0.854
TATASTEEL,train,SHORT gated (NIFTY c=0),213,-6.46,0.867,-18.16,0.676
TATASTEEL,test,SHORT baseline,897,70.78,1.259,-62.24,0.821
TATASTEEL,test,SHORT gated (NIFTY c=0),27,0.75,1.092,-3.21,0.685
TECHM,train,SHORT baseline,2682,726.88,1.136,-1280.18,0.805
TECHM,train,SHORT gated (NIFTY c=0),202,109.6,1.257,-43.65,0.915
TECHM,test,SHORT baseline,929,-64.01,0.979,-1400.27,0.638
TECHM,test,SHORT gated (NIFTY c=0),28,50.98,1.552,9.56,1.085
VEDL,train,SHORT baseline,2780,407.8,1.223,-100.68,0.953
VEDL,train,SHORT gated (NIFTY c=0),199,11.94,1.091,-18.02,0.877
VEDL,test,SHORT baseline,883,67.04,1.076,-266.42,0.754
VEDL,test,SHORT gated (NIFTY c=0),31,38.78,2.487,26.27,1.815
WIPRO,train,SHORT baseline,2693,44.96,1.051,-357.36,0.683
WIPRO,train,SHORT gated (NIFTY c=0),202,1.02,1.014,-29.42,0.677
WIPRO,test,SHORT baseline,882,123.41,1.309,-92.15,0.824
WIPRO,test,SHORT gated (NIFTY c=0),29,1.05,1.059,-6.38,0.717
