symbol,model,split,bucket,n,pnl,pf,zpnl,zpf
AXISBANK,Model A,train,SHORT gated,2,-8.19,0.132,-9.0,0.086
AXISBANK,Model A,train,LONG baseline,2832,-534.94,0.898,-2342.15,0.636
AXISBANK,Model A,train,LONG gated,2829,-511.12,0.902,-2317.12,0.638
AXISBANK,Model A,train,COMBINED baseline,5708,538.28,1.055,-3093.26,0.745
AXISBANK,Model A,train,COMBINED gated,2831,-519.32,0.901,-2326.11,0.638
AXISBANK,Model A,test,SHORT baseline,992,-5.04,0.998,-1132.82,0.633
AXISBANK,Model A,test,SHORT gated,0,0.0,0.0,0.0,0.0
AXISBANK,Model A,test,LONG baseline,921,-126.42,0.944,-1175.84,0.599
AXISBANK,Model A,test,LONG gated,921,-126.42,0.944,-1175.84,0.599
AXISBANK,Model A,test,COMBINED baseline,1913,-131.46,0.972,-2308.66,0.616
AXISBANK,Model A,test,COMBINED gated,921,-126.42,0.944,-1175.84,0.599
AXISBANK,MA-alone,train,SHORT baseline,2827,1075.71,1.239,-722.78,0.87
AXISBANK,MA-alone,train,SHORT gated,0,0.0,0.0,0.0,0.0
AXISBANK,MA-alone,train,LONG baseline,2786,-538.61,0.895,-2322.81,0.633
AXISBANK,MA-alone,train,LONG gated,2786,-538.61,0.895,-2322.81,0.633
AXISBANK,MA-alone,train,COMBINED baseline,5613,537.1,1.056,-3045.59,0.744
AXISBANK,MA-alone,train,COMBINED gated,2786,-538.61,0.895,-2322.81,0.633
AXISBANK,MA-alone,test,SHORT baseline,982,-17.87,0.992,-1136.65,0.629
AXISBANK,MA-alone,test,SHORT gated,0,0.0,0.0,0.0,0.0
AXISBANK,MA-alone,test,LONG baseline,907,-122.59,0.945,-1159.36,0.6
AXISBANK,MA-alone,test,LONG gated,907,-122.59,0.945,-1159.36,0.6
AXISBANK,MA-alone,test,COMBINED baseline,1889,-140.46,0.97,-2296.01,0.615
AXISBANK,MA-alone,test,COMBINED gated,907,-122.59,0.945,-1159.36,0.6
AXISBANK,Model B,train,SHORT baseline,2827,1075.71,1.239,-722.78,0.87
AXISBANK,Model B,train,SHORT gated,300,98.64,1.179,-80.03,0.879
AXISBANK,Model B,train,LONG baseline,2786,-538.61,0.895,-2322.81,0.633
AXISBANK,Model B,train,LONG gated,2491,-408.0,0.909,-2015.03,0.636
