symbol,entry_dt,entry,sl,tp,exit_dt,exit_price,outcome,pnl,zpnl
TATAMOTORS,2015-02-02 11:05:00,403.2,400.4428571428571,410.7821428571429,2015-02-02 15:00:00,408.2,EOD+,5.0,4.5791535716
TATAMOTORS,2015-02-03 10:45:00,413.55,411.1428571428571,420.16964285714295,2015-02-03 11:15:00,420.16964285714295,W,6.619642857142935,6.187036925896506
TATAMOTORS,2015-02-03 14:40:00,417.8,415.32142857142856,424.61607142857144,2015-02-03 15:00:00,418.5,EOD+,0.6999999999999886,0.2667887621999887
TATAMOTORS,2015-02-04 13:25:00,408.1,405.22857142857146,415.9964285714286,2015-02-04 15:00:00,407.25,EOD-,-0.8500000000000227,-1.2721696821000226
TATAMOTORS,2015-02-05 12:45:00,410.6,407.76428571428573,418.3982142857143,2015-02-05 14:55:00,407.76428571428573,L,-2.835714285714289,-3.259199848757146
TATAMOTORS,2015-02-06 11:40:00,382.85,380.7857142857143,388.5267857142858,2015-02-06 14:45:00,388.5267857142858,W,5.6767857142857565,5.276583965667899
TATAMOTORS,2015-02-09 11:45:00,379.35,377.7142857142857,383.84821428571433,2015-02-09 13:45:00,377.7142857142857,L,-1.6357142857143003,-2.0276004109571573
TATAMOTORS,2015-02-10 14:20:00,382.45,380.06428571428575,389.0107142857142,2015-02-10 15:00:00,386.85,EOD+,4.400000000000034,4.001031514200034
TATAMOTORS,2015-02-11 09:30:00,386.2,381.57142857142856,398.9285714285714,2015-02-11 11:00:00,381.57142857142856,L,-4.628571428571433,-5.025633229485719
TATAMOTORS,2015-02-11 11:55:00,383.4,381.5,388.625,2015-02-11 15:00:00,385.15,EOD+,1.75,1.3517472187
TATAMOTORS,2015-02-12 09:35:00,386.1,383.40000000000003,393.525,2015-02-12 10:35:00,383.40000000000003,L,-2.6999999999999886,-3.0981952169999887
TATAMOTORS,2015-02-12 12:55:00,382.45,380.6642857142857,387.36071428571427,2015-02-12 14:15:00,387.36071428571427,W,4.910714285714278,4.511418224707135
TATAMOTORS,2015-02-12 14:50:00,385.95,383.63571428571424,392.31428571428575,2015-02-12 15:00:00,385.55,EOD-,-0.39999999999997726,-0.7995150789999772
TATAMOTORS,2015-02-13 11:30:00,385.05,383.3285714285715,389.78392857142853,2015-02-13 14:35:00,389.78392857142853,W,4.733928571428521,4.332052790639236
TATAMOTORS,2015-02-18 10:15:00,392.45,389.0785714285714,401.72142857142853,2015-02-18 12:40:00,401.72142857142853,W,9.271428571428544,8.858977402114258
TATAMOTORS,2015-02-18 14:25:00,400.45,398.3928571428571,406.10714285714283,2015-02-18 15:00:00,403.45,EOD+,3.0,2.5832848666
TATAMOTORS,2015-02-19 13:10:00,397.95,396.10714285714283,403.0178571428571,2015-02-19 13:55:00,396.10714285714283,L,-1.8428571428571558,-2.2538765086285846
TATAMOTORS,2015-02-20 13:05:00,397.65,395.6714285714285,403.0910714285714,2015-02-20 15:00:00,399.55,EOD+,1.900000000000034,1.486890686800034
TATAMOTORS,2015-02-23 09:35:00,400.45,398.04285714285714,407.0696428571428,2015-02-23 13:50:00,398.04285714285714,L,-2.407142857142844,-2.8203898166714154
TATAMOTORS,2015-02-24 12:00:00,388.95,387.1714285714285,393.84107142857147,2015-02-24 14:30:00,387.1714285714285,L,-1.7785714285714675,-2.180309719585753
TATAMOTORS,2015-02-25 11:55:00,393.85,392.26428571428573,398.2107142857143,2015-02-25 14:05:00,392.26428571428573,L,-1.585714285714289,-1.992651755257146
TATAMOTORS,2015-02-26 09:20:00,393.75,391.3357142857143,400.38928571428573,2015-02-26 09:55:00,391.3357142857143,L,-2.414285714285711,-2.8205881519428537
TATAMOTORS,2015-02-26 11:25:00,390.65,389.3214285714285,394.3035714285715,2015-02-26 11:35:00,389.3214285714285,L,-1.328571428571479,-1.7323592326857646
TATAMOTORS,2015-02-26 12:45:00,390.65,389.5285714285714,393.73392857142846,2015-02-26 12:50:00,389.5285714285714,L,-1.1214285714285666,-1.5253492382142808
TATAMOTORS,2015-02-27 10:45:00,389.35,387.53571428571433,394.3392857142857,2015-02-27 13:00:00,394.3392857142857,W,4.9892857142857,4.582792154292843
TATAMOTORS,2015-02-27 14:25:00,397.25,394.5571428571428,404.6553571428572,2015-02-27 14:40:00,394.5571428571428,L,-2.6928571428571786,-3.102606245128607
TATAMOTORS,2015-02-28 09:20:00,397.95,394.32142857142856,407.92857142857144,2015-02-28 11:25:00,394.32142857142856,L,-3.6285714285714334,-4.038445426485719
TATAMOTORS,2015-02-28 12:15:00,396.0,391.65,407.96250000000003,2015-02-28 12:35:00,391.65,L,-4.350000000000023,-4.757391435900023
TATAMOTORS,2015-02-28 13:00:00,401.35,394.12142857142857,421.22857142857146,2015-02-28 15:00:00,405.55,EOD+,4.199999999999989,3.7815829485999886
TATAMOTORS,2015-03-02 12:55:00,399.35,395.50714285714287,409.9178571428572,2015-03-02 15:00:00,401.2,EOD+,1.849999999999966,1.4351618766999659
TATAMOTORS,2015-03-03 12:35:00,395.75,394.3285714285714,399.6589285714286,2015-03-03 15:00:00,395.8,EOD+,0.05000000000001137,-0.3599546692999886
TATAMOTORS,2015-03-04 13:30:00,401.55,399.62142857142857,406.8535714285715,2015-03-04 14:10:00,399.62142857142857,L,-1.9285714285714448,-2.3432647398857305
