date,r,p
2016-02-12,-0.13951410636852912,0.0267910742830683
2016-02-15,-0.14005915610202824,0.026196500473441197
2016-02-16,-0.14174278172645868,0.02443095429323563
2016-02-17,-0.14787005144877585,0.018843147925445503
2016-02-18,-0.14099886054311347,0.025198018232085215
2016-02-19,-0.13723956775547919,0.029398924607500806
2016-02-22,-0.14042064959581552,0.025808443849892462
2016-02-23,-0.14139600082055548,0.024785983797291897
2016-02-24,-0.1363271539678413,0.03050446104449078
2016-02-25,-0.14293723026306598,0.02324142050213749
2016-02-26,-0.14391609296697871,0.02230417932819647
2016-02-29,-0.1448645482586153,0.021427393840066214
2016-03-01,-0.1532737387825131,0.01487301836345284
2016-03-02,-0.15438536049766177,0.014153899840964783
2016-03-03,-0.15009110454074925,0.017111712764512576
2016-03-04,-0.15381527213106083,0.014518793067394477
2016-03-08,-0.15636236738923584,0.012950055907876864
2016-03-09,-0.15573325580270697,0.013322983160387818
2016-03-10,-0.15464684075607138,0.013989243725223123
2016-03-11,-0.15814934434083283,0.011940366350607521
2016-03-14,-0.15836721638160015,0.011822136407163085
2016-03-15,-0.16052462102025267,0.010705975041084064
2016-03-16,-0.15883698330346036,0.011570719319305063
2016-03-17,-0.1538829537786999,0.014475045461765342
2016-03-18,-0.1565822073635726,0.012821919610491958
2016-03-21,-0.1621265728242952,0.009938495032907873
2016-03-22,-0.16185454978660416,0.010065280854393671
2016-03-23,-0.16080241080985133,0.010569247537079733
2016-03-28,-0.15949120156433447,0.011228445206249165
2016-03-29,-0.16388962096464366,0.009150511359226959
2016-03-30,-0.16822898772519168,0.007442301761164979
2016-03-31,-0.17009424074372498,0.006799894402556918
2016-04-01,-0.17112710669397763,0.006465895177582406
2016-04-04,-0.15679783379385137,0.012697323871744999
2016-04-05,-0.1590637007252703,0.011451077285057317
2016-04-06,-0.16252632107178072,0.009754744310213155
2016-04-07,-0.16369968217204733,0.009232652996954808
2016-04-08,-0.16413928736798142,0.00904352630174421
2016-04-11,-0.1647166787984989,0.008800348648208596
2016-04-12,-0.16540853658266993,0.008516622523689623
2016-04-13,-0.16701440535007675,0.007889175621569254
2016-04-18,-0.16748378858577712,0.007713721636243721
2016-04-20,-0.17072902984943322,0.006592843967326245
2016-04-21,-0.1660243028874189,0.008270969713725068
2016-04-22,-0.16608571043698556,0.008246820852041111
2016-04-25,-0.16391930068570942,0.009137734701786342
2016-04-26,-0.17034538314153985,0.006717294292074922
2016-04-27,-0.17155215042085858,0.006332763559719945
2016-04-28,-0.1639212564560183,0.009136893329308107
2016-04-29,-0.16358321931242886,0.00928334183839562
2016-05-02,-0.1645945071311278,0.008851313329827162
2016-05-03,-0.16283567558209686,0.009614616788807099
2016-05-04,-0.16164451101913238,0.010164154133561006
2016-05-05,-0.16766259248298135,0.007647804987291411
2016-05-06,-0.1679469249078608,0.007544018080999802
2016-05-09,-0.16524263597464212,0.00858390593025475
2016-05-10,-0.1570012925133625,0.012580737033018626
2016-05-11,-0.1593546301707331,0.011299149338863897
2016-05-12,-0.1581256496425179,0.011953287074162891
2016-05-13,-0.16006902183801786,0.010933606097281558
2016-05-16,-0.15624542227095628,0.013018676467279925
2016-05-17,-0.1563270132002076,0.012970767270187013
2016-05-18,-0.1567000419192372,0.012753698481970395
2016-05-19,-0.15760528130134568,0.01224016750990447
2016-05-20,-0.15883722245023657,0.011570592539440639
2016-05-23,-0.1508528480225897,0.01655071317419051
2016-05-24,-0.15342325060308185,0.014774471837079384
2016-05-25,-0.1608385092051624,0.010551593811208291
2016-05-26,-0.16003377881787859,0.010951391424531585
2016-05-27,-0.1596525048512777,0.011145440421488515
2016-05-30,-0.15833721166518386,0.011838357182294387
2016-05-31,-0.1633778164648484,0.009373342377500338
2016-06-01,-0.16419793213183373,0.009018557894982043
2016-06-02,-0.15895085787524066,0.011510488957472701
2016-06-03,-0.15528451838892704,0.013594721613757323
2016-06-06,-0.15538247258634877,0.0135349925037371
2016-06-07,-0.15523594354633521,0.013624426640742248
2016-06-08,-0.1573099522440007,0.012405665970878268
2016-06-09,-0.16101392724000024,0.01046617720095444
2016-06-10,-0.15820514225461868,0.011909988345370015
2016-06-13,-0.1581332684729513,0.011949131181156316
2016-06-14,-0.15712508647233878,0.012510261948319607
2016-06-16,-0.15592054147687587,0.013210989040521648
2016-06-17,-0.16022199155791098,0.010856705560476375
2016-06-20,-0.1599095800629914,0.0110142719781069
2016-06-21,-0.15701216230351592,0.012574534971598692
2016-06-22,-0.15343977717571247,0.014763613995774543
2016-06-23,-0.1545253484987349,0.014065538131823112
2016-06-24,-0.15444369713441522,0.014117018222393946
2016-06-27,-0.14201693090978626,0.02415339282170518
2016-06-28,-0.1420385761663296,0.024131594359754455
2016-06-29,-0.1240125856076468,0.049246812665350484
2016-06-30,-0.12119197304329019,0.05468306108005855
2016-07-01,-0.1221638494776774,0.05275632153575966
2016-07-04,-0.12313947359820095,0.050879217460468994
2016-07-05,-0.1203562594314237,0.05638617138456442
2016-07-07,-0.12538993334985707,0.04676061030692881
2016-07-08,-0.12633846215644884,0.04511021435641292
2016-07-11,-0.12817840056174754,0.04204781894230815
2016-07-12,-0.12773680878335825,0.042766384007392015
2016-07-13,-0.12084832071290189,0.05537815978774803
2016-07-14,-0.14590995034713594,0.020495700343989415
2016-07-15,-0.14555904384199175,0.02080444545838343
2016-07-18,-0.14442259639078528,0.021832167089836957
2016-07-19,-0.14367544604623067,0.02253151272783456
2016-07-20,-0.1444806700222441,0.021778604194881878
2016-07-21,-0.13891217187825372,0.027461124891224216
2016-07-22,-0.14568542342885915,0.020692789189135894
2016-07-25,-0.14487126641762413,0.021421291297026617
2016-07-26,-0.1542228670437958,0.014257077452383126
2016-07-27,-0.15357859924201833,0.014672684509172827
2016-07-28,-0.14921637880597166,0.017776310520486095
2016-07-29,-0.15119289904168876,0.016305504754324844
2016-08-01,-0.1512215499166877,0.016284990482777994
2016-08-02,-0.15264785255024052,0.015291829677319402
2016-08-03,-0.15473485773185086,0.01393419808704677
2016-08-04,-0.15392800626624759,0.014445988832325911
2016-08-05,-0.15203045251037892,0.015715037530825555
2016-08-08,-0.15332320676412992,0.014840349391746218
2016-08-09,-0.15258323530587195,0.015335650447508255
2016-08-10,-0.1500518845528111,0.01714104062109935
2016-08-11,-0.14949408254696622,0.017562922182211466
2016-08-12,-0.15035631154958212,0.01691454267833535
2016-08-16,-0.15217906217068286,0.015612245322444138
2016-08-17,-0.13733081240888045,0.029290275452255564
2016-08-18,-0.14222461718469945,0.023944934626760388
2016-08-19,-0.14555355690681676,0.020809304962592482
2016-08-22,-0.14521780714675167,0.0211085390789499
2016-08-23,-0.14437612824243898,0.02187510795739291
2016-08-24,-0.14348602086352877,0.022711863609703987
2016-08-25,-0.14520196090922816,0.021122753519860107
2016-08-26,-0.14217755583433936,0.023992034499423186
2016-08-29,-0.13858188729103718,0.027834853840182007
2016-08-30,-0.137754909690816,0.028789779716351886
2016-08-31,-0.13786571558071664,0.028660225262082575
2016-09-01,-0.13812089853421392,0.028363761631837563
2016-09-02,-0.13719570100976722,0.02945128128313712
2016-09-06,-0.14439849793042214,0.02185442718666125
2016-09-07,-0.14751406861580307,0.019134370105226988
2016-09-08,-0.14491971885739877,0.02137732330987782
2016-09-09,-0.14831125565955194,0.018487561279622266
2016-09-12,-0.15447921764420244,0.014094602741817763
2016-09-14,-0.16058317570029193,0.0106770252284627
2016-09-15,-0.1764558688894573,0.004964919328426586
2016-09-16,-0.1824969268474152,0.003647982040821109
2016-09-19,-0.21054241857500686,0.0007698302074604165
2016-09-20,-0.20986136496207594,0.000801456284442942
2016-09-21,-0.2075039186205344,0.0009204140370627471
2016-09-22,-0.20481985253610985,0.0010755311566355836
2016-09-26,-0.2034912582116003,0.001160897245629942
2016-09-27,-0.1938216687711202,0.0019955769781395123
2016-09-28,-0.19545351447432072,0.0018243876929752091
2016-09-29,-0.19429912698856697,0.0019440315148413058
2016-09-30,-0.20535756011893933,0.0010426529603662295
2016-10-03,-0.21026507530317762,0.0007825675579042968
2016-10-04,-0.21091750053928005,0.0007529082995603015
2016-10-05,-0.22106914458971955,0.0004065992222357248
2016-10-06,-0.2166118327659254,0.0005347588305661785
2016-10-07,-0.21370147870479392,0.0006376429802954213
2016-10-10,-0.20859602499259514,0.0008634173682575345
2016-10-13,-0.19632608701762372,0.0017384579537215214
2016-10-14,-0.1883637993042223,0.0026800358279177624
2016-10-17,-0.19103491348201138,0.002322118390344868
2016-10-18,-0.16830912304838058,0.007413627590697618
2016-10-19,-0.1609827614867069,0.010481307980008134
2016-10-20,-0.1601658396041873,0.010884878435393671
2016-10-21,-0.15831240685118683,0.011851781660690694
2016-10-24,-0.1584300137970768,0.011788251050850716
2016-10-25,-0.15796221376810485,0.01204274476210498
2016-10-26,-0.15689818593120203,0.012639701368422773
2016-10-27,-0.15488417363889048,0.013841250847077283
2016-10-28,-0.15617714135297986,0.013058889697005652
2016-11-01,-0.15676846320330193,0.012714232215518848
2016-11-02,-0.15426734143657456,0.014228772431306583
2016-11-03,-0.15357539082701832,0.014674780492940626
2016-11-04,-0.15344801700124866,0.01475820310053162
2016-11-07,-0.15939706522681896,0.011277138400550621
2016-11-08,-0.15864387096505286,0.0116734955873609
2016-11-09,-0.15542127564457875,0.013511395535089357
2016-11-10,-0.12347811208444831,0.05024081597771467
2016-11-11,-0.14552326419198164,0.020836151412321695
2016-11-15,-0.15040083089346537,0.016881639456986994
2016-11-16,-0.15247338646087705,0.01541039764050713
2016-11-17,-0.16042769052160982,0.010754050597930487
2016-11-18,-0.16168850459545428,0.010143373802281455
2016-11-21,-0.1559601521583812,0.013187408702955929
2016-11-22,-0.1519632768043641,0.015761696349736443
2016-11-23,-0.15626497174278886,0.01300718310551925
2016-11-24,-0.15706348027287012,0.01254529039954892
2016-11-25,-0.1580969487542928,0.011968954173815976
2016-11-28,-0.1537320311994071,0.014572756647523524
2016-11-29,-0.15500341188605446,0.013767417782511185
2016-11-30,-0.1553586653285885,0.013549488113684728
2016-12-01,-0.1622033532609175,0.009902965686273574
2016-12-02,-0.16179393827072516,0.010093725247989389
2016-12-05,-0.16355677303321609,0.00929488654482623
2016-12-06,-0.1655204427969357,0.008471502451206982
2016-12-07,-0.16559555509407167,0.008441336810226855
2016-12-08,-0.16405467132649562,0.00907966027571071
2016-12-09,-0.16542484646053582,0.008510033188024083
2016-12-12,-0.16570571637910542,0.008397267953392028
2016-12-13,-0.17221828521121318,0.006129046577885425
2016-12-14,-0.16731390751165298,0.0077768171957478685
2016-12-15,-0.17083623685259428,0.006558437727017225
2016-12-16,-0.17242824759959874,0.006066063061939073
2016-12-19,-0.1794942519418412,0.0042569167386275145
2016-12-20,-0.17732672115393272,0.004751887608500127
2016-12-21,-0.17469133701445613,0.005423078362356441
2016-12-22,-0.17413903103343245,0.005574086711785076
2016-12-23,-0.17460255725957988,0.005447101646863874
2016-12-26,-0.17366531839009602,0.00570659942526607
2016-12-27,-0.17601216502742367,0.005076728213933552
2016-12-28,-0.1780277268638411,0.004586417669216539
2016-12-29,-0.18353558882745236,0.0034564243979043887
2016-12-30,-0.18479796395179132,0.003235883619625817
2017-01-02,-0.18275793282321665,0.0035989633763063543
2017-01-03,-0.19761631887105413,0.001618162053141291
2017-01-04,-0.19883135120551224,0.0015118892898244578
2017-01-05,-0.19772314573309033,0.0016085515138188227
2017-01-06,-0.19874286713520273,0.0015194072539323705
2017-01-09,-0.19122218297711407,0.0022987368183128784
2017-01-10,-0.18957139023161976,0.0025124371586327846
2017-01-11,-0.18663718494296896,0.002937334616483791
2017-01-12,-0.187031677805346,0.002876648222981139
2017-01-13,-0.18489157893303973,0.003220047763996783
2017-01-16,-0.18168542626368572,0.003804266246515014
2017-01-17,-0.18262238942366762,0.00362434450566263
2017-01-18,-0.18048535984903477,0.004046480502522646
2017-01-19,-0.18197485309540706,0.0037478458414427753
2017-01-20,-0.19054081168056233,0.0023848524348119293
2017-01-23,-0.1909977537457348,0.0023267836390951997
2017-01-24,-0.1894878201272571,0.0025237212321627517
2017-01-25,-0.1888356355061494,0.002613377904660293
2017-01-27,-0.1884156165976554,0.0026726406670677686
2017-01-30,-0.19012894173049769,0.0024383201535378043
2017-01-31,-0.18636440516563818,0.002979974037270163
2017-02-01,-0.18466454758397738,0.0032585741551005515
2017-02-02,-0.18293147399401605,0.0035667016048807616
2017-02-03,-0.18396007055148947,0.0033807932522329533
2017-02-06,-0.1801911284069359,0.004107951533093546
2017-02-07,-0.177904042100991,0.004615230719757348
2017-02-08,-0.196578823448582,0.001714268993230589
2017-02-09,-0.20437931673312834,0.001103175268141146
2017-02-10,-0.1966827274265657,0.0017044140781667578
2017-02-13,-0.19974861277309203,0.0014359373124421292
2017-02-14,-0.20938548290819445,0.0008242614345938923
2017-02-15,-0.2100005166093063,0.0007948986975089322
2017-02-16,-0.20255683046719872,0.0012246181507302796
2017-02-17,-0.202237362714764,0.001247129593647174
2017-02-20,-0.20433611808516738,0.0011059208979179644
2017-02-21,-0.20464406692891143,0.001086484626136155
2017-02-22,-0.1821950938005691,0.0037054201809496104
2017-02-23,-0.17494736088207039,0.005354331326116064
2017-02-27,-0.1706132428976372,0.00663018493041233
2017-02-28,-0.16996141649894958,0.006843945751000893
2017-03-01,-0.17005662834440707,0.006812342831046275
2017-03-02,-0.1689749892261193,0.007179150106544981
2017-03-03,-0.16789732046633524,0.007562033778833666
2017-03-06,-0.16520282824280322,0.008600120634375364
2017-03-07,-0.16473698750722024,0.008791902049932932
2017-03-08,-0.16977219671509305,0.006907140931182745
2017-03-09,-0.16621700150046867,0.008195400170965142
2017-03-10,-0.16708762663631466,0.007861573941930268
2017-03-14,-0.1644606982301562,0.008907433115400085
2017-03-15,-0.15278601503912026,0.015198500996714777
2017-03-16,-0.1532592653560489,0.014882588609331426
2017-03-17,-0.1543606350202173,0.014169557278608889
2017-03-20,-0.15166478968504404,0.01597048693855689
2017-03-21,-0.15029588267217112,0.016959293769583578
