symbol,entry_dt,entry,sl,tp,exit_dt,exit_price,outcome,pnl,touch_dt,atr_pct_at_touch,hidden_atr_pct_rollmean40,bucket
TATAMOTORS,2023-01-02 11:05:00,271.3,272.2357142857143,269.19464285714287,2023-01-02 12:10:00,272.2357142857143,L,-0.9357142857143116,2023-01-02 11:00:00,0.1724818959842004,0.2707589561782421,High vol
TATAMOTORS,2023-01-02 13:40:00,271.75,272.43571428571425,270.20714285714286,2023-01-02 14:45:00,272.43571428571425,L,-0.6857142857142549,2023-01-02 13:35:00,0.1261663819161507,0.1666801926183971,Low vol
TATAMOTORS,2023-01-04 13:00:00,266.0,266.8,264.2,2023-01-04 13:50:00,266.8,L,-0.8000000000000114,2023-01-04 12:55:00,0.1503759398496231,0.1844732847341183,Mid vol
TATAMOTORS,2023-01-05 11:30:00,266.3,267.25714285714287,264.1464285714286,2023-01-05 13:05:00,264.1464285714286,W,2.1535714285714107,2023-01-05 11:25:00,0.1797113888739841,0.2348720594592733,High vol
TATAMOTORS,2023-01-05 14:00:00,264.75,265.97142857142853,262.00178571428575,2023-01-05 14:25:00,265.97142857142853,L,-1.2214285714285325,2023-01-05 13:55:00,0.2307194128123454,0.1929903968385833,Mid vol
TATAMOTORS,2023-01-06 11:25:00,265.15,266.0285714285714,263.17321428571427,2023-01-06 12:55:00,263.17321428571427,W,1.976785714285711,2023-01-06 11:20:00,0.1656744160987036,0.2603161894696171,High vol
TATAMOTORS,2023-01-09 12:20:00,269.5,270.3285714285714,267.6357142857143,2023-01-09 13:10:00,267.6357142857143,W,1.8642857142857,2023-01-09 12:15:00,0.1537238271932152,0.257569338178143,High vol
TATAMOTORS,2023-01-11 11:05:00,286.65,287.6428571428571,284.4160714285714,2023-01-11 12:20:00,287.6428571428571,L,-0.9928571428571332,2023-01-11 11:00:00,0.1732130395773086,0.4324253225553588,High vol
TATAMOTORS,2023-01-11 14:05:00,288.05,288.6857142857143,286.6196428571429,2023-01-11 14:20:00,288.6857142857143,L,-0.6357142857143003,2023-01-11 14:00:00,0.1103670634920618,0.1443016583720248,Low vol
TATAMOTORS,2023-01-12 09:30:00,288.15,289.6428571428571,284.7910714285714,2023-01-12 12:15:00,284.7910714285714,W,3.358928571428578,2023-01-12 09:25:00,0.2590416697652524,0.1625661110328571,Low vol
TATAMOTORS,2023-01-13 09:25:00,283.25,284.4642857142857,280.5178571428572,2023-01-13 09:35:00,284.4642857142857,L,-1.2142857142857224,2023-01-13 09:20:00,0.2143866020984665,0.1794510363781677,Low vol
TATAMOTORS,2023-01-13 10:45:00,282.15,283.75714285714287,278.5339285714285,2023-01-13 13:10:00,283.75714285714287,L,-1.6071428571428896,2023-01-13 10:40:00,0.284802916381868,0.2247403551882265,High vol
TATAMOTORS,2023-01-16 10:25:00,282.55,284.45714285714286,278.2589285714286,2023-01-16 15:00:00,284.4,EOD-,-1.849999999999966,2023-01-16 10:20:00,0.3375474083438647,0.2503387203830081,High vol
TATAMOTORS,2023-01-17 11:05:00,287.6,288.51428571428573,285.5428571428572,2023-01-17 15:00:00,286.1,EOD+,1.5,2023-01-17 11:00:00,0.1589509239022432,0.1907942709891313,Mid vol
TATAMOTORS,2023-01-18 11:15:00,282.55,283.5357142857143,280.33214285714297,2023-01-18 15:00:00,281.7,EOD+,0.8500000000000227,2023-01-18 11:10:00,0.1745244840145627,0.2041436563417134,Mid vol
TATAMOTORS,2023-01-19 13:40:00,279.15,280.1,277.0125,2023-01-19 14:45:00,277.0125,W,2.1374999999999886,2023-01-19 13:35:00,0.1701594125022398,0.1781832426694828,Low vol
TATAMOTORS,2023-01-20 12:15:00,281.75,283.10714285714283,278.69642857142856,2023-01-20 15:00:00,278.9,EOD+,2.8500000000000227,2023-01-20 12:10:00,0.2409699675324675,0.2638331675582958,High vol
TATAMOTORS,2023-01-23 11:55:00,281.55,282.4071428571429,279.6214285714285,2023-01-23 13:45:00,282.4071428571429,L,-0.8571428571428896,2023-01-23 11:50:00,0.1521915584415642,0.274418852888982,High vol
TATAMOTORS,2023-01-24 13:10:00,290.4,291.74285714285713,287.37857142857143,2023-01-24 15:00:00,290.7,EOD-,-0.3000000000000113,2023-01-24 13:05:00,0.2312081857536383,0.2438683783511487,High vol
TATAMOTORS,2023-01-25 09:55:00,290.65,292.68571428571425,286.06964285714287,2023-01-25 15:00:00,289.15,EOD+,1.5,2023-01-25 09:50:00,0.3502002899904128,0.2052476988683891,Mid vol
TATAMOTORS,2023-01-27 11:05:00,307.75,310.87857142857143,300.7107142857143,2023-01-27 14:10:00,300.7107142857143,W,7.039285714285711,2023-01-27 11:00:00,0.5082975513519794,0.5778741012315279,High vol
TATAMOTORS,2023-01-27 14:30:00,303.1,305.5785714285714,297.52321428571435,2023-01-27 14:35:00,305.5785714285714,L,-2.4785714285714,2023-01-27 14:25:00,0.4090726899771289,0.4044061897748898,High vol
TATAMOTORS,2023-01-30 10:10:00,307.0,309.81428571428575,300.6678571428571,2023-01-30 15:00:00,304.65,EOD+,2.3500000000000227,2023-01-30 10:05:00,0.4584273846368688,0.4494949264279592,High vol
