datetime,gap_size_lag_1,close_log_return
2015-02-04,0.008060620097019178,-0.011586201930794626
2015-02-05,0.010133999141553858,-0.006152351139924838
2015-02-06,-0.0001226768081033028,-0.049463063929675304
2015-02-09,-0.03121532038776132,-0.031217549787531537
2015-02-10,-0.021630259308704852,0.037809701883422545
2015-02-11,0.0024054535185499774,-0.006332815994852577
2015-02-12,0.005908816164076736,0.005172648284959906
2015-02-13,0.004269364140698488,0.0038620027404291137
2015-02-16,-0.0051726482849597955,0.015427092468315627
2015-02-18,0.006786632105043259,0.015691026756980156
2015-02-19,-0.00342183972437934,-0.00875662337883462
2015-02-20,0.003481291592512118,0.0035118561115396493
2015-02-23,0.0020082848471960992,-0.007792900171907609
2015-02-24,0.004123201943171072,-0.016668112846826844
2015-02-25,0.0031496089028962013,0.001794642194273838
2015-02-26,0.0003848374109456099,-0.00823049913651548
2015-02-27,0.006510522773246556,0.02045061047129084
2015-02-28,0.008742663040156676,0.04090296290214621
2015-03-02,0.0042923939153069616,-0.02334545143730732
2015-03-03,-0.001580067177716516,-0.01933033705262274
2015-03-04,-0.00461031281990876,0.002784459462628265
2015-03-05,0.013845406822053135,-0.006975740126726424
2015-03-09,0.004036332422460332,-0.012551394281872439
2015-03-10,0.00025451769035324,-0.0043916371280030165
2015-03-11,0.007447389326381211,-0.017761992362033456
2015-03-12,0.0018106575045128445,0.02472796480286123
2015-03-13,0.006959518602932478,-0.010597152672456582
2015-03-16,-0.001157630845080934,-0.0015602655616212156
2015-03-17,0.009182088436843287,0.0204785313435407
2015-03-18,0.010484854318916489,-0.015934544297415056
2015-03-19,0.0006372268105768761,-0.014745488021520668
2015-03-20,0.006713167478508831,-0.0061976858237225915
2015-03-23,-0.009377338741102163,0.005408627392461887
2015-03-24,-0.0005292405521784722,-0.037259737504970775
2015-03-25,-0.000921355774292875,0.01719395231253546
2015-03-26,0.006940219733019997,-0.02652314605531695
2015-03-27,-0.02061369437721235,0.015319681364525451
2015-03-30,-0.0008273580174105139,0.009725863508527624
2015-03-31,0.0033877666387065004,0.019040585884938788
2015-04-01,-0.0001344357063260702,0.02757718982237438
2015-04-06,-0.004361912936655355,0.0008977236896586866
2015-04-07,-0.010187721101393286,-0.009790107822366943
2015-04-08,0.0052419732639639345,0.003618042453012676
2015-04-09,0.006965972440827739,-0.005431984385998241
2015-04-10,-0.0015489870142454973,0.0036245994374983787
2015-04-13,-0.002597066775906828,-0.010652218157335594
2015-04-15,0.0018073849484998988,-0.029421682218868046
2015-04-16,-0.008788670723447915,-0.0028284751835778972
2015-04-17,0.006435201186102987,-0.007989750675139682
2015-04-20,0.004978146843050043,0.00366425055440609
2015-04-21,0.012162312082571366,-0.015425874105308563
2015-04-22,-0.00952777045595789,-0.004964842635354668
2015-04-23,0.0023359680838737065,-0.026051893522258132
2015-04-24,0.0033126324288563673,0.010726990651331165
2015-04-27,0.006788316267120435,0.0004210821874275483
2015-04-28,0.007552483451718121,0.01628541802954467
2015-04-29,0.005039204392596781,-0.008457589409297743
2015-04-30,0.0013796911680862523,-0.0228146777661714
2015-05-04,-0.0030679148313369053,-0.0031388240922234937
2015-05-05,0.0062482452639391894,0.005415432929815606
2015-05-06,0.0028538832155270066,-0.02183994852601885
2015-05-07,-0.00555834111155206,-0.017881174063598675
