symbol,model,split,bucket,n,pnl,pf,zpnl,zpf
ASHOKLEY,Model B,test,COMBINED baseline,1857,25.33,1.05,-180.98,0.716
ASHOKLEY,Model B,test,COMBINED gated (flipped),921,66.65,1.292,-35.65,0.877
AXISBANK,Model A,train,SHORT baseline,2876,1073.22,1.233,-751.11,0.868
AXISBANK,Model A,train,SHORT gated (flipped),2874,1081.41,1.235,-742.11,0.869
AXISBANK,Model A,train,LONG baseline,2832,-534.94,0.898,-2342.15,0.636
AXISBANK,Model A,train,LONG gated (flipped),3,-23.81,0.061,-25.03,0.044
AXISBANK,Model A,train,COMBINED baseline,5708,538.28,1.055,-3093.26,0.745
AXISBANK,Model A,train,COMBINED gated (flipped),2877,1057.6,1.228,-767.14,0.865
AXISBANK,Model A,test,SHORT baseline,992,-5.04,0.998,-1132.82,0.633
AXISBANK,Model A,test,SHORT gated (flipped),992,-5.04,0.998,-1132.82,0.633
AXISBANK,Model A,test,LONG baseline,921,-126.42,0.944,-1175.84,0.599
AXISBANK,Model A,test,LONG gated (flipped),0,0.0,0.0,0.0,0.0
AXISBANK,Model A,test,COMBINED baseline,1913,-131.46,0.972,-2308.66,0.616
AXISBANK,Model A,test,COMBINED gated (flipped),992,-5.04,0.998,-1132.82,0.633
AXISBANK,MA-alone,train,SHORT baseline,2827,1075.71,1.239,-722.78,0.87
AXISBANK,MA-alone,train,SHORT gated (flipped),2827,1075.71,1.239,-722.78,0.87
AXISBANK,MA-alone,train,LONG baseline,2786,-538.61,0.895,-2322.81,0.633
AXISBANK,MA-alone,train,LONG gated (flipped),0,0.0,0.0,0.0,0.0
AXISBANK,MA-alone,train,COMBINED baseline,5613,537.1,1.056,-3045.59,0.744
AXISBANK,MA-alone,train,COMBINED gated (flipped),2827,1075.71,1.239,-722.78,0.87
AXISBANK,MA-alone,test,SHORT baseline,982,-17.87,0.992,-1136.65,0.629
AXISBANK,MA-alone,test,SHORT gated (flipped),982,-17.87,0.992,-1136.65,0.629
AXISBANK,MA-alone,test,LONG baseline,907,-122.59,0.945,-1159.36,0.6
AXISBANK,MA-alone,test,LONG gated (flipped),0,0.0,0.0,0.0,0.0
AXISBANK,MA-alone,test,COMBINED baseline,1889,-140.46,0.97,-2296.01,0.615
AXISBANK,MA-alone,test,COMBINED gated (flipped),982,-17.87,0.992,-1136.65,0.629
AXISBANK,Model B,train,SHORT baseline,2827,1075.71,1.239,-722.78,0.87
AXISBANK,Model B,train,SHORT gated (flipped),2527,977.06,1.247,-642.75,0.869
AXISBANK,Model B,train,LONG baseline,2786,-538.61,0.895,-2322.81,0.633
AXISBANK,Model B,train,LONG gated (flipped),295,-130.61,0.804,-307.77,0.607
AXISBANK,Model B,train,COMBINED baseline,5613,537.1,1.056,-3045.59,0.744
AXISBANK,Model B,train,COMBINED gated (flipped),2822,846.46,1.183,-950.52,0.833
AXISBANK,Model B,test,SHORT baseline,982,-17.87,0.992,-1136.65,0.629
AXISBANK,Model B,test,SHORT gated (flipped),945,91.66,1.041,-983.67,0.659
AXISBANK,Model B,test,LONG baseline,907,-122.59,0.945,-1159.36,0.6
AXISBANK,Model B,test,LONG gated (flipped),38,2.6,1.022,-41.46,0.714
AXISBANK,Model B,test,COMBINED baseline,1889,-140.46,0.97,-2296.01,0.615
AXISBANK,Model B,test,COMBINED gated (flipped),983,94.26,1.04,-1025.13,0.661
BAJFINANCE,Model A,train,SHORT baseline,1149,249.21,1.14,-586.29,0.744
BAJFINANCE,Model A,train,SHORT gated (flipped),971,162.09,1.108,-542.0,0.719
BAJFINANCE,Model A,train,LONG baseline,1166,-329.29,0.844,-1179.35,0.559
BAJFINANCE,Model A,train,LONG gated (flipped),203,-24.04,0.937,-174.7,0.634
BAJFINANCE,Model A,train,COMBINED baseline,2315,-80.07,0.979,-1765.64,0.644
BAJFINANCE,Model A,train,COMBINED gated (flipped),1174,138.05,1.073,-716.7,0.703
BAJFINANCE,Model A,test,SHORT baseline,371,14.28,1.019,-353.0,0.638
BAJFINANCE,Model A,test,SHORT gated (flipped),300,14.37,1.023,-282.43,0.645
BAJFINANCE,Model A,test,LONG baseline,363,68.32,1.09,-289.87,0.703
BAJFINANCE,Model A,test,LONG gated (flipped),62,-30.91,0.776,-92.21,0.482
BAJFINANCE,Model A,test,COMBINED baseline,734,82.6,1.055,-642.87,0.671
BAJFINANCE,Model A,test,COMBINED gated (flipped),362,-16.54,0.978,-374.65,0.615
BAJFINANCE,MA-alone,train,SHORT baseline,1111,225.09,1.133,-584.65,0.733
BAJFINANCE,MA-alone,train,SHORT gated (flipped),933,219.04,1.153,-450.64,0.754
