symbol,config,fold_num,train_start,train_end,test_start,test_end,n,pf,pnl,zpnl,zpf
ADANIPORTS,config2_5y20mo,1,2015-02-01,2020-02-01,2020-02-01,2021-09-30,266,1.353,158.79,21.29,1.041
ASHOKLEY,config2_5y20mo,1,2015-02-01,2020-02-01,2020-02-01,2021-09-30,284,1.419,20.25,7.36,1.133
AXISBANK,config2_5y20mo,1,2015-02-01,2020-02-01,2020-02-01,2021-09-30,298,1.163,100.91,-84.89,0.884
BAJFINANCE,config2_5y20mo,1,2015-02-01,2020-02-01,2020-02-01,2021-09-30,311,1.179,88.25,-61.62,0.893
BANDHANBNK,config2_5y20mo,1,2015-02-01,2020-02-01,2020-02-01,2021-09-30,305,1.288,115.79,12.91,1.028
BHARTIARTL,config2_5y20mo,1,2015-02-01,2020-02-01,2020-02-01,2021-09-30,309,0.955,-25.56,-197.05,0.706
CIPLA,config2_5y20mo,1,2015-02-01,2020-02-01,2020-02-01,2021-09-30,308,1.112,76.37,-175.73,0.787
COALINDIA,config2_5y20mo,1,2015-02-01,2020-02-01,2020-02-01,2021-09-30,295,1.387,40.06,0.75,1.006
DABUR,config2_5y20mo,1,2015-02-01,2020-02-01,2020-02-01,2021-09-30,296,1.555,179.18,18.28,1.045
DIVISLAB,config2_5y20mo,1,2015-02-01,2020-02-01,2020-02-01,2021-09-30,283,1.204,546.37,-464.24,0.857
HDFCBANK,config2_5y20mo,1,2015-02-01,2020-02-01,2020-02-01,2021-09-30,303,1.03,15.85,-190.84,0.706
HINDALCO,config2_5y20mo,1,2015-02-01,2020-02-01,2020-02-01,2021-09-30,290,1.089,25.75,-54.25,0.839
ICICIBANK,config2_5y20mo,1,2015-02-01,2020-02-01,2020-02-01,2021-09-30,292,1.001,0.47,-154.53,0.739
INDUSINDBK,config2_5y20mo,1,2015-02-01,2020-02-01,2020-02-01,2021-09-30,307,1.268,258.57,-0.31,1.0
INFY,config2_5y20mo,1,2015-02-01,2020-02-01,2020-02-01,2021-09-30,285,0.855,-119.89,-469.59,0.553
ITC,config2_5y20mo,1,2015-02-01,2020-02-01,2020-02-01,2021-09-30,279,1.34,38.19,-11.29,0.919
JSWSTEEL,config2_5y20mo,1,2015-02-01,2020-02-01,2020-02-01,2021-09-30,295,0.941,-27.59,-151.78,0.722
NATIONALUM,config2_5y20mo,1,2015-02-01,2020-02-01,2020-02-01,2021-09-30,277,1.318,18.39,4.7,1.072
NTPC,config2_5y20mo,1,2015-02-01,2020-02-01,2020-02-01,2021-09-30,270,1.109,9.21,-19.48,0.809
ONGC,config2_5y20mo,1,2015-02-01,2020-02-01,2020-02-01,2021-09-30,271,1.284,21.13,-3.23,0.963
PNB,config2_5y20mo,1,2015-02-01,2020-02-01,2020-02-01,2021-09-30,281,1.12,5.72,-4.46,0.916
POWERGRID,config2_5y20mo,1,2015-02-01,2020-02-01,2020-02-01,2021-09-30,275,0.931,-6.16,-36.97,0.659
RELIANCE,config2_5y20mo,1,2015-02-01,2020-02-01,2020-02-01,2021-09-30,299,1.093,69.85,-224.57,0.755
SBIN,config2_5y20mo,1,2015-02-01,2020-02-01,2020-02-01,2021-09-30,291,1.223,59.83,-28.74,0.91
SUNPHARMA,config2_5y20mo,1,2015-02-01,2020-02-01,2020-02-01,2021-09-30,320,1.072,40.75,-153.08,0.775
TATAMOTORS,config2_5y20mo,1,2015-02-01,2020-02-01,2020-02-01,2021-09-30,283,1.144,23.4,-19.91,0.894
TATASTEEL,config2_5y20mo,1,2015-02-01,2020-02-01,2020-02-01,2021-09-30,287,1.277,19.48,0.42,1.005
TECHM,config2_5y20mo,1,2015-02-01,2020-02-01,2020-02-01,2021-09-30,287,0.895,-88.08,-343.17,0.654
VEDL,config2_5y20mo,1,2015-02-01,2020-02-01,2020-02-01,2021-09-30,273,1.168,29.29,-10.47,0.947
WIPRO,config2_5y20mo,1,2015-02-01,2020-02-01,2020-02-01,2021-09-30,272,0.981,-2.77,-55.63,0.681
ADANIPORTS,config2_5y20mo,2,2016-10-01,2021-10-01,2021-10-01,2023-05-31,131,0.677,-118.97,-218.93,0.496
ASHOKLEY,config2_5y20mo,2,2016-10-01,2021-10-01,2021-10-01,2023-05-31,126,1.022,0.53,-7.93,0.73
AXISBANK,config2_5y20mo,2,2016-10-01,2021-10-01,2021-10-01,2023-05-31,123,0.971,-7.03,-103.25,0.662
BAJFINANCE,config2_5y20mo,2,2016-10-01,2021-10-01,2021-10-01,2023-05-31,123,1.131,23.23,-61.06,0.731
BANDHANBNK,config2_5y20mo,2,2016-10-01,2021-10-01,2021-10-01,2023-05-31,117,1.395,41.77,8.36,1.067
BHARTIARTL,config2_5y20mo,2,2016-10-01,2021-10-01,2021-10-01,2023-05-31,123,0.702,-65.2,-157.25,0.436
CIPLA,config2_5y20mo,2,2016-10-01,2021-10-01,2021-10-01,2023-05-31,134,0.814,-61.08,-196.22,0.525
COALINDIA,config2_5y20mo,2,2016-10-01,2021-10-01,2021-10-01,2023-05-31,118,1.143,7.34,-14.36,0.778
DABUR,config2_5y20mo,2,2016-10-01,2021-10-01,2021-10-01,2023-05-31,128,0.536,-88.72,-161.32,0.331
DIVISLAB,config2_5y20mo,2,2016-10-01,2021-10-01,2021-10-01,2023-05-31,132,1.063,77.85,-451.36,0.711
HDFCBANK,config2_5y20mo,2,2016-10-01,2021-10-01,2021-10-01,2023-05-31,125,1.349,58.55,-37.36,0.833
HINDALCO,config2_5y20mo,2,2016-10-01,2021-10-01,2021-10-01,2023-05-31,119,0.725,-53.69,-109.39,0.529
ICICIBANK,config2_5y20mo,2,2016-10-01,2021-10-01,2021-10-01,2023-05-31,133,0.764,-60.09,-168.32,0.485
