period,symbol,n,r,p,significant
28,CIPLA,2037,-0.0304,0.1699,False
28,COALINDIA,2086,-0.012,0.5825,False
28,DABUR,2086,-0.0591,0.0069,True
28,DIVISLAB,2086,0.0032,0.8855,False
28,HDFCBANK,2086,-0.0022,0.9211,False
28,HINDALCO,2086,0.0197,0.3691,False
28,ICICIBANK,2078,-0.0228,0.2999,False
28,INDUSINDBK,2086,0.0325,0.1384,False
28,INFY,2078,-0.0187,0.3936,False
28,ITC,2078,-0.0065,0.7676,False
28,JSWSTEEL,2086,0.0015,0.9445,False
28,NATIONALUM,2086,-0.0179,0.4139,False
28,NTPC,2086,-0.0293,0.1809,False
28,ONGC,2086,0.0153,0.4843,False
28,PNB,2086,0.0317,0.148,False
28,POWERGRID,2086,-0.0798,0.0003,True
28,RELIANCE,2086,-0.0157,0.473,False
28,SBIN,2084,0.006,0.7851,False
28,SUNPHARMA,2086,-0.0277,0.2065,False
28,TATAMOTORS,2086,0.0514,0.0189,True
28,TATASTEEL,2086,0.0186,0.3948,False
28,TECHM,2086,0.0177,0.4184,False
28,VEDL,2086,0.0419,0.0556,False
28,WIPRO,2086,0.0295,0.1785,False
28,NIFTY50,2112,0.0183,0.4,False
