date,ADANIPORTS,ASHOKLEY,AXISBANK,BANDHANBNK,BHARTIARTL,CIPLA,COALINDIA,DABUR,DIVISLAB,HDFCBANK,HINDALCO,ICICIBANK,INDUSINDBK,INFY,ITC,JSWSTEEL,NATIONALUM,NTPC,ONGC,PNB,POWERGRID,RELIANCE,SBIN,SUNPHARMA,TATAMOTORS,TATASTEEL,TECHM,VEDL,WIPRO
2022-02-25,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down
2022-02-28,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down
2022-03-02,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down
2022-03-03,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down
2022-03-04,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down
2022-03-07,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down
2022-03-08,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down
2022-03-09,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down
2022-03-10,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down
2022-03-11,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down
2022-03-14,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down,down
2022-03-15,down,down,down,down,down,up,up,down,up,down,up,down,down,up,up,down,down,down,down,down,up,down,down,up,down,up,down,up,down
2022-03-16,down,down,down,down,up,up,up,up,up,down,up,down,up,up,up,up,up,down,up,down,up,up,down,up,down,up,down,up,up
2022-03-17,up,down,down,up,up,up,up,up,up,down,up,down,up,up,up,up,up,down,up,down,up,up,down,up,down,up,down,up,up
2022-03-21,up,down,down,down,up,up,up,down,up,up,up,down,down,up,up,up,up,down,up,down,down,up,down,up,down,up,down,up,up
2022-03-22,up,down,down,up,up,up,up,down,up,up,up,down,up,up,up,up,up,down,up,down,up,up,down,up,down,up,up,up,up
2022-03-23,up,down,down,up,down,up,up,down,up,up,up,down,up,up,up,up,up,down,up,down,up,up,down,up,down,up,up,up,up
2022-03-24,up,down,down,down,up,up,up,down,up,down,up,down,up,up,up,up,up,up,up,down,up,up,down,up,down,up,up,up,up
2022-03-25,up,down,down,down,up,up,up,down,up,down,up,down,up,up,up,up,up,up,up,down,up,up,down,up,down,up,up,up,up
2022-03-28,up,down,down,down,up,up,up,down,up,down,up,down,up,up,up,up,up,up,up,down,up,up,down,up,down,up,up,up,up
2022-03-29,up,down,down,down,up,up,up,down,up,down,up,down,up,up,up,up,up,up,up,down,up,up,down,up,down,up,up,up,up
2022-03-30,up,down,up,down,up,up,up,down,up,up,up,down,up,up,up,up,down,up,down,down,up,up,down,up,down,up,up,up,up
2022-03-31,up,down,up,up,up,up,up,down,up,up,up,down,up,up,up,up,up,up,down,down,up,up,down,up,down,up,up,up,up
2022-04-01,up,down,up,up,up,up,up,down,up,up,up,down,up,up,up,up,up,up,down,down,up,up,up,up,down,up,up,up,up
2022-04-04,up,down,up,up,up,up,up,down,up,up,up,up,up,up,up,up,up,up,down,down,up,up,up,up,down,up,up,up,up
2022-04-05,up,up,up,up,up,up,up,up,up,up,up,down,up,up,up,up,up,up,up,down,up,up,up,up,down,up,up,up,up
2022-04-06,up,up,up,up,up,up,up,down,up,up,up,up,up,up,up,up,up,up,up,up,up,up,up,up,down,up,down,up,up
2022-04-07,up,up,up,up,up,up,up,up,up,up,up,up,up,up,up,up,up,up,down,up,up,up,up,up,down,up,up,up,up
2022-04-08,up,up,up,up,up,up,up,up,up,up,up,up,up,up,up,up,up,up,up,up,up,up,up,up,down,up,down,up,up
2022-04-11,up,up,up,up,up,up,up,up,up,up,up,up,up,down,up,up,up,up,up,up,up,up,up,up,down,up,down,up,down
2022-04-12,up,up,up,up,up,up,up,up,up,up,down,up,up,down,up,up,down,up,down,down,up,up,up,up,down,up,down,up,down
2022-04-13,up,up,up,up,up,up,up,up,up,down,down,up,up,down,up,up,down,up,up,down,up,up,up,up,down,up,down,up,down
