Period,F0_PnL,F0_Trades,F1_PnL,F1_Trades,F2_PnL,F2_Trades,F3_PnL,F3_Trades,F4_PnL,F4_Trades,F5_PnL,F5_Trades,F6_PnL,F6_Trades,F7_PnL,F7_Trades,F0_Ret%,F1_Ret%,F2_Ret%,F3_Ret%,F4_Ret%,F5_Ret%,F6_Ret%,F7_Ret%
2022,-69879.0,18042,-57156.0,10681,-86205.0,10976,-102863.0,11399,-64300.0,9383,-68900.0,8714,-85925.0,9885,-69257.0,8437,-6.99,-5.72,-8.62,-10.29,-6.43,-6.89,-8.59,-6.93
2023,-72221.0,19974,-48401.0,12249,-55930.0,12976,-70866.0,14887,-33253.0,11011,-46966.0,10882,-63257.0,12133,-40451.0,10308,-7.22,-4.84,-5.59,-7.09,-3.33,-4.7,-6.33,-4.05
2024,-104334.0,18261,-36729.0,11314,-44052.0,12808,-65015.0,14794,-40389.0,10728,-41257.0,10765,-50292.0,12517,-42959.0,10501,-10.43,-3.67,-4.41,-6.5,-4.04,-4.13,-5.03,-4.3
2025,-89932.0,20432,-83026.0,10508,-125450.0,10209,-88147.0,9947,-99797.0,8634,-71622.0,7386,-79504.0,8085,-69768.0,7029,-8.99,-8.3,-12.54,-8.81,-9.98,-7.16,-7.95,-6.98
4yr_CAGR,-336366.0,76709,-225312.0,44752,-311637.0,46969,-326891.0,51027,-237739.0,39756,-228745.0,37747,-278978.0,42620,-222435.0,36275,-9.74,-6.18,-8.91,-9.42,-6.56,-6.29,-7.85,-6.1
