stock,top10_appearances,consistency_pct
VEDL,27,56.25
ASHOKLEY,21,43.75
TATAMOTORS,21,43.75
PNB,20,41.66666666666667
COALINDIA,20,41.66666666666667
NATIONALUM,20,41.66666666666667
BANDHANBNK,19,39.58333333333333
HINDALCO,19,39.58333333333333
BHARTIARTL,18,37.5
POWERGRID,18,37.5
DIVISLAB,18,37.5
INDUSINDBK,17,35.41666666666667
NTPC,16,33.33333333333333
SUNPHARMA,16,33.33333333333333
JSWSTEEL,16,33.33333333333333
ONGC,15,31.25
TATASTEEL,15,31.25
SBIN,14,29.166666666666668
CIPLA,14,29.166666666666668
RELIANCE,14,29.166666666666668
ICICIBANK,14,29.166666666666668
ADANIPORTS,14,29.166666666666668
IDEA,14,29.166666666666668
AXISBANK,13,27.083333333333332
ITC,13,27.083333333333332
TECHM,13,27.083333333333332
WIPRO,11,22.916666666666664
HDFCBANK,11,22.916666666666664
DABUR,10,20.833333333333336
INFY,9,18.75
