stock,config,trade_count,win%,protrades%,total_pnl,pnl_per_share
RELIANCE,Extreme-3,2489,17.92,42.91,-327.7807,-0.131692
RELIANCE,Extreme-4,2489,14.46,42.47,-379.6621,-0.152536
SBIN,Extreme-1,2631,20.18,42.19,-160.5607,-0.061026
SBIN,Extreme-2,2631,16.53,41.62,-176.4232,-0.067056
SBIN,Extreme-3,2631,16.84,43.98,-265.6161,-0.100956
SBIN,Extreme-4,2631,13.95,43.52,-257.6179,-0.097916
SUNPHARMA,Extreme-1,2962,22.69,47.16,1015.9643,0.342999
SUNPHARMA,Extreme-2,2962,18.33,46.62,1047.0518,0.353495
SUNPHARMA,Extreme-3,2962,18.97,48.99,1135.85,0.383474
SUNPHARMA,Extreme-4,2962,16.1,48.38,1177.7,0.397603
TATAMOTORS,Extreme-1,2124,20.9,37.85,-738.3225,-0.347609
TATAMOTORS,Extreme-2,2124,17.42,37.15,-739.8639,-0.348335
TATAMOTORS,Extreme-3,2124,18.31,39.03,-991.5586,-0.466835
TATAMOTORS,Extreme-4,2124,14.5,38.37,-1016.3843,-0.478524
TATASTEEL,Extreme-1,2407,20.27,38.76,-135.5121,-0.056299
TATASTEEL,Extreme-2,2407,16.87,38.1,-137.1757,-0.05699
TATASTEEL,Extreme-3,2407,17.2,39.97,-165.0264,-0.068561
TATASTEEL,Extreme-4,2407,14.25,39.76,-151.4914,-0.062938
TECHM,Extreme-1,2716,19.62,41.53,-1076.0693,-0.396196
TECHM,Extreme-2,2716,16.49,40.91,-902.3632,-0.33224
TECHM,Extreme-3,2716,17.05,43.45,-962.3679,-0.354333
TECHM,Extreme-4,2716,13.59,43.11,-892.81,-0.328722
VEDL,Extreme-1,2232,22.58,41.62,-197.1679,-0.088337
VEDL,Extreme-2,2232,19.04,40.99,-186.8893,-0.083732
VEDL,Extreme-3,2232,20.25,43.5,-200.0607,-0.089633
VEDL,Extreme-4,2232,17.61,43.15,-102.6357,-0.045984
VI,Extreme-1,4014,11.96,33.81,-55.3154,-0.013781
VI,Extreme-2,4014,9.32,33.33,-60.0914,-0.01497
VI,Extreme-3,4014,9.62,34.21,-60.6971,-0.015121
VI,Extreme-4,4014,8.12,34.03,-60.0143,-0.014951
WIPRO,Extreme-1,2468,16.33,37.07,-400.3589,-0.16222
WIPRO,Extreme-2,2468,13.37,36.35,-415.7046,-0.168438
WIPRO,Extreme-3,2468,13.78,37.97,-460.1646,-0.186452
WIPRO,Extreme-4,2468,10.9,37.76,-462.2321,-0.18729
