Index,Timestamp,Open,High,Low,Close,Volume,Order
0,2025-12-24T15:29:00+05:30,1.07,1.08,1.06,1.07,15750,NEWEST_FIRST
1,2025-12-24T15:28:00+05:30,1.06,1.07,1.06,1.07,2460,NEWEST_FIRST
2,2025-12-24T15:27:00+05:30,1.08,1.08,1.06,1.06,551523,NEWEST_FIRST
3,2025-12-24T15:26:00+05:30,1.08,1.08,1.07,1.08,7100,NEWEST_FIRST
4,2025-12-24T15:25:00+05:30,1.08,1.08,1.08,1.08,10340,NEWEST_FIRST
5,2025-12-24T15:24:00+05:30,1.08,1.08,1.07,1.08,1898,NEWEST_FIRST
6,2025-12-24T15:23:00+05:30,1.08,1.08,1.08,1.08,10546,NEWEST_FIRST
7,2025-12-24T15:22:00+05:30,1.08,1.08,1.08,1.08,206,NEWEST_FIRST
8,2025-12-24T15:21:00+05:30,1.08,1.08,1.08,1.08,99,NEWEST_FIRST
9,2025-12-24T15:20:00+05:30,1.08,1.08,1.07,1.08,9250,NEWEST_FIRST
10,2025-12-24T15:19:00+05:30,1.08,1.08,1.08,1.08,50,NEWEST_FIRST
11,2025-12-24T15:18:00+05:30,1.08,1.08,1.07,1.08,8130,NEWEST_FIRST
12,2025-12-24T15:17:00+05:30,1.07,1.08,1.07,1.08,3088,NEWEST_FIRST
13,2025-12-24T15:16:00+05:30,1.07,1.07,1.07,1.07,410,NEWEST_FIRST
14,2025-12-24T15:15:00+05:30,1.08,1.08,1.08,1.08,14,NEWEST_FIRST
15,2025-12-24T15:14:00+05:30,1.08,1.08,1.06,1.07,235,NEWEST_FIRST
16,2025-12-24T15:13:00+05:30,1.07,1.08,1.06,1.08,111579,NEWEST_FIRST
17,2025-12-24T15:12:00+05:30,1.07,1.08,1.07,1.08,234,NEWEST_FIRST
18,2025-12-24T15:11:00+05:30,1.08,1.08,1.07,1.07,24652,NEWEST_FIRST
19,2025-12-24T15:10:00+05:30,1.08,1.08,1.07,1.08,13880,NEWEST_FIRST
20,2025-12-24T15:09:00+05:30,1.07,1.07,1.07,1.07,500,NEWEST_FIRST
21,2025-12-24T15:08:00+05:30,1.07,1.07,1.07,1.07,0,NEWEST_FIRST
22,2025-12-24T15:07:00+05:30,1.07,1.07,1.07,1.07,49,NEWEST_FIRST
23,2025-12-24T15:06:00+05:30,1.07,1.08,1.07,1.08,109,NEWEST_FIRST
24,2025-12-24T15:05:00+05:30,1.07,1.07,1.07,1.07,550,NEWEST_FIRST
25,2025-12-24T15:04:00+05:30,1.06,1.07,1.06,1.07,2295,NEWEST_FIRST
26,2025-12-24T15:03:00+05:30,1.07,1.07,1.06,1.06,2785,NEWEST_FIRST
27,2025-12-24T15:02:00+05:30,1.07,1.07,1.06,1.06,1001,NEWEST_FIRST
28,2025-12-24T15:01:00+05:30,1.07,1.07,1.06,1.06,400,NEWEST_FIRST
29,2025-12-24T15:00:00+05:30,1.07,1.07,1.07,1.07,1121,NEWEST_FIRST
30,2025-12-24T14:59:00+05:30,1.07,1.07,1.07,1.07,11,NEWEST_FIRST
31,2025-12-24T14:58:00+05:30,1.08,1.08,1.07,1.07,14490,NEWEST_FIRST
32,2025-12-24T14:57:00+05:30,1.07,1.07,1.07,1.07,499,NEWEST_FIRST
33,2025-12-24T14:56:00+05:30,1.07,1.07,1.07,1.07,3412,NEWEST_FIRST
34,2025-12-24T14:55:00+05:30,1.06,1.06,1.06,1.06,2086,NEWEST_FIRST
35,2025-12-24T14:54:00+05:30,1.08,1.08,1.06,1.06,11119,NEWEST_FIRST
36,2025-12-24T14:53:00+05:30,1.08,1.08,1.06,1.06,81500,NEWEST_FIRST
37,2025-12-24T14:52:00+05:30,1.08,1.08,1.07,1.07,433,NEWEST_FIRST
38,2025-12-24T14:51:00+05:30,1.07,1.07,1.07,1.07,50,NEWEST_FIRST
39,2025-12-24T14:50:00+05:30,1.08,1.08,1.07,1.08,6771,NEWEST_FIRST
40,2025-12-24T14:49:00+05:30,1.07,1.08,1.07,1.08,850,NEWEST_FIRST
41,2025-12-24T14:48:00+05:30,1.08,1.08,1.08,1.08,8204,NEWEST_FIRST
42,2025-12-24T14:47:00+05:30,1.08,1.08,1.07,1.07,887,NEWEST_FIRST
43,2025-12-24T14:46:00+05:30,1.07,1.08,1.06,1.08,114108,NEWEST_FIRST
44,2025-12-24T14:45:00+05:30,1.07,1.07,1.06,1.06,30247,NEWEST_FIRST
45,2025-12-24T14:44:00+05:30,1.07,1.07,1.06,1.06,1050,NEWEST_FIRST
46,2025-12-24T14:43:00+05:30,1.07,1.07,1.07,1.07,108,NEWEST_FIRST
47,2025-12-24T14:42:00+05:30,1.06,1.07,1.06,1.07,3862,NEWEST_FIRST
48,2025-12-24T14:41:00+05:30,1.06,1.06,1.06,1.06,363,NEWEST_FIRST
49,2025-12-24T14:40:00+05:30,1.07,1.07,1.06,1.07,3956,NEWEST_FIRST
50,2025-12-24T14:39:00+05:30,1.06,1.06,1.06,1.06,300,NEWEST_FIRST
51,2025-12-24T14:38:00+05:30,1.06,1.06,1.06,1.06,100,NEWEST_FIRST
52,2025-12-24T14:37:00+05:30,1.07,1.07,1.06,1.06,7105,NEWEST_FIRST
53,2025-12-24T14:36:00+05:30,1.07,1.07,1.06,1.06,13774,NEWEST_FIRST
54,2025-12-24T14:35:00+05:30,1.07,1.07,1.06,1.07,3183,NEWEST_FIRST
55,2025-12-24T14:34:00+05:30,1.06,1.06,1.06,1.06,14823,NEWEST_FIRST
56,2025-12-24T14:33:00+05:30,1.06,1.07,1.06,1.07,18421,NEWEST_FIRST
57,2025-12-24T14:32:00+05:30,1.07,1.07,1.07,1.07,10500,NEWEST_FIRST
58,2025-12-24T14:31:00+05:30,1.07,1.07,1.07,1.07,6,NEWEST_FIRST
59,2025-12-24T14:30:00+05:30,1.07,1.07,1.07,1.07,3530,NEWEST_FIRST
60,2025-12-24T14:29:00+05:30,1.07,1.07,1.06,1.07,1169,NEWEST_FIRST
61,2025-12-24T14:28:00+05:30,1.07,1.07,1.06,1.06,1188,NEWEST_FIRST
62,2025-12-24T14:27:00+05:30,1.07,1.07,1.07,1.07,7,NEWEST_FIRST
63,2025-12-24T14:26:00+05:30,1.06,1.06,1.06,1.06,4210,NEWEST_FIRST
64,2025-12-24T14:25:00+05:30,1.07,1.07,1.07,1.07,340,NEWEST_FIRST
65,2025-12-24T14:24:00+05:30,1.06,1.06,1.06,1.06,25,NEWEST_FIRST
66,2025-12-24T14:23:00+05:30,1.06,1.06,1.06,1.06,5,NEWEST_FIRST
67,2025-12-24T14:22:00+05:30,1.07,1.07,1.07,1.07,181,NEWEST_FIRST
68,2025-12-24T14:21:00+05:30,1.06,1.06,1.06,1.06,5000,NEWEST_FIRST
69,2025-12-24T14:20:00+05:30,1.07,1.07,1.06,1.06,1061,NEWEST_FIRST
70,2025-12-24T14:19:00+05:30,1.06,1.07,1.06,1.06,18372,NEWEST_FIRST
71,2025-12-24T14:18:00+05:30,1.06,1.06,1.06,1.06,581,NEWEST_FIRST
72,2025-12-24T14:17:00+05:30,1.07,1.07,1.06,1.06,432,NEWEST_FIRST
73,2025-12-24T14:16:00+05:30,1.06,1.07,1.06,1.07,64726,NEWEST_FIRST
74,2025-12-24T14:15:00+05:30,1.07,1.07,1.07,1.07,11,NEWEST_FIRST
75,2025-12-24T14:14:00+05:30,1.07,1.07,1.06,1.06,1275,NEWEST_FIRST
76,2025-12-24T14:13:00+05:30,1.06,1.06,1.06,1.06,562,NEWEST_FIRST
77,2025-12-24T14:12:00+05:30,1.07,1.07,1.06,1.06,3159,NEWEST_FIRST
78,2025-12-24T14:11:00+05:30,1.07,1.07,1.06,1.06,515,NEWEST_FIRST
79,2025-12-24T14:10:00+05:30,1.06,1.07,1.06,1.07,2182,NEWEST_FIRST
80,2025-12-24T14:09:00+05:30,1.07,1.07,1.06,1.07,3504,NEWEST_FIRST
81,2025-12-24T14:08:00+05:30,1.06,1.07,1.06,1.06,72540,NEWEST_FIRST
82,2025-12-24T14:07:00+05:30,1.06,1.06,1.06,1.06,2500,NEWEST_FIRST
83,2025-12-24T14:06:00+05:30,1.06,1.06,1.05,1.06,82,NEWEST_FIRST
84,2025-12-24T14:05:00+05:30,1.06,1.06,1.05,1.05,354476,NEWEST_FIRST
85,2025-12-24T14:04:00+05:30,1.06,1.07,1.06,1.06,10038,NEWEST_FIRST
86,2025-12-24T14:03:00+05:30,1.06,1.07,1.06,1.06,10302,NEWEST_FIRST
87,2025-12-24T14:02:00+05:30,1.07,1.07,1.07,1.07,10008,NEWEST_FIRST
88,2025-12-24T14:01:00+05:30,1.06,1.07,1.06,1.07,675,NEWEST_FIRST
89,2025-12-24T14:00:00+05:30,1.07,1.07,1.07,1.07,301,NEWEST_FIRST
