Price,Close,High,Low,Open,Volume,MA50,MA100,MA200
Ticker,TATASTEEL.NS,TATASTEEL.NS,TATASTEEL.NS,TATASTEEL.NS,TATASTEEL.NS,,,
Date,,,,,,,,
2024-01-01,133.96388244628906,135.01757595922226,133.19755058997845,134.10756327460035,21186105,,,
2024-01-02,133.72439575195312,134.68230685442683,131.28171951733253,134.58650989755407,27764060,,,
2024-01-03,129.65328979492188,133.7244124900106,128.69537857254807,133.6286155211471,45176618,,,
2024-01-04,128.59957885742188,130.61119822807458,128.3601010569425,130.27592346077748,43913498,,,
2024-01-05,128.0248260498047,130.22802473340042,127.25850878295829,129.3180120165966,71330190,,,
2024-01-08,126.44426727294922,130.22801325666794,126.20478949402317,129.60537687808568,39559717,,,
2024-01-09,128.0248260498047,129.12643269988502,126.92323401628929,127.88114521641222,30736868,,,
2024-01-10,128.45590209960938,129.03064006905706,126.5400796349862,128.16852580660282,27213624,,,
2024-01-11,129.2222137451172,129.9406471379549,128.55167883511496,129.17432987884652,23113349,,,
2024-01-12,129.60537719726562,130.51538983611294,128.9827262005863,130.08433275629724,32883921,,,
2024-01-15,129.2222137451172,130.51539969885098,128.31220103750238,130.27592190123843,34158775,,,
2024-01-16,131.47329711914062,132.6706859817922,128.3600860762466,129.03062091601882,56361287,,,
2024-01-17,126.10900115966797,130.03644284925474,125.86952336436548,129.74906657157882,58982971,,,
2024-01-18,125.4863510131836,126.68373985872924,122.80419707584873,126.1089873662421,45273496,,,
2024-01-19,128.59957885742188,129.03063597497174,126.06112001896653,127.01903122088402,32653013,,,
2024-01-23,124.6242446899414,129.50958271555191,123.8579128575229,129.12642410762464,35373970,,,
2024-01-24,129.46168518066406,129.84485840795298,124.62424559986565,124.72002794426483,39340119,,,
2024-01-25,128.12060546875,130.7548609082944,126.44426109813085,130.7548609082944,61358839,,,
2024-01-29,129.3179931640625,129.70115174162717,127.88112657335068,129.03061692260758,29745400,,,
2024-01-30,129.0306396484375,131.90437333600434,128.83906032591278,129.89276852464678,35704185,,,
2024-01-31,130.22802734375,130.9464607582428,128.8390589990436,129.31801460870548,36079354,,,
2024-02-01,129.1264190673828,130.9943427871038,128.83904281437265,130.65906805583137,31701793,,,
2024-02-02,132.8622589111328,133.7243876208757,129.12641168526804,129.6053672073821,69296192,,,
2024-02-05,135.5923309326172,137.31657398603784,133.48492925246512,134.1075656750448,80737626,,,
2024-02-06,138.5618438720703,138.99291558864303,134.53861991105188,136.9812962998516,53192936,,,
2024-02-07,138.32235717773438,141.19609048156457,137.9870970622256,140.6692510691131,61517064,,,
2024-02-08,137.6039276123047,139.51974986721495,137.0291897057699,139.18448974254395,38997666,,,
2024-02-09,135.35284423828125,138.37025842097034,133.29332655944575,138.13078064086602,35961925,,,
2024-02-12,131.6169891357422,136.933399061618,130.89855575701748,136.02338637187958,36477544,,,
2024-02-13,132.0480499267578,132.43120851707158,128.45588333045387,131.95225297089772,39155909,,,
2024-02-14,135.25704956054688,135.54442582483105,130.0364367895464,131.23382571026045,29141690,,,
2024-02-15,135.25704956054688,137.41234961783218,135.06547025654544,135.54442582483105,31587387,,,
2024-02-16,136.31076049804688,137.41235248143482,135.54442864950713,136.07128270891346,22316127,,,
2024-02-19,135.97549438476562,137.3165788590465,135.40075642427257,136.9334056021526,16973568,,,
2024-02-20,135.11337280273438,136.26286327789938,134.15546163733615,135.97548700496702,24291123,,,
2024-02-21,137.84339904785156,140.04659746287578,135.49651981694967,135.59231677191025,88000833,,,
2024-02-22,139.7592315673828,139.9987093559606,137.46025064366157,138.8971173751284,46728176,,,
2024-02-23,139.3281707763672,140.90873290900382,138.8971136916713,140.2381834255171,28414697,,,
2024-02-26,136.64601135253906,139.80712087772514,136.26285276257366,139.71133853851543,22570277,,,
2024-02-27,138.1307830810547,138.41815934556936,136.02338150222042,136.64601789486554,24119469,,,
2024-02-28,134.82598876953125,138.84921250932356,134.1554539156598,137.9870983567122,20721926,,,
2024-02-29,134.92178344726562,135.87969454134188,133.5328006676044,134.87388496924913,32248156,,,
2024-03-01,143.63877868652344,144.30931358999868,136.981298901011,136.981298901011,123709943,,,
2024-03-04,146.6562042236328,148.38043261580668,144.69248342525225,148.38043261580668,67577785,,,
2024-03-05,145.4588165283203,147.51831969035862,144.40510839819197,146.75198783358934,37165490,,,
2024-03-06,145.21932983398438,146.22512480423438,141.6750470407782,145.41090913229087,51782444,,,
2024-03-07,150.63153076171875,152.45155612938402,145.84197493463708,145.98565576282377,124847699,,,
2024-03-11,146.991455078125,152.21206763938605,146.56039800729857,152.21206763938605,54155385,,,
2024-03-12,146.08145141601562,148.04517221082247,144.5487877184678,147.70989745930754,34947937,,,
2024-03-13,137.6039276123047,146.4646055412647,136.5023356623568,146.36882319845748,70937597,134.40259613037108,,
2024-03-14,136.45443725585938,137.89130394781276,132.52701040112512,137.55604382296193,91956952,134.4524072265625,,
2024-03-15,135.7360076904297,137.6518299997274,133.96388082426785,136.88549815269545,68482621,134.49263946533202,,
