datetime,date,open,high,low,close,volume,MA20,date_str,MA50,MA100,MA200
2025-12-18 14:20:00,2025-12-18,118.75,118.8,118.5,118.59,84501.0,,2025-12-18,120.3327993774414,113.89129997253418,106.65898391723633
2025-12-18 14:25:00,2025-12-18,118.53,118.6,118.46,118.55,94665.0,,2025-12-18,120.3327993774414,113.89129997253418,106.65898391723633
2025-12-18 14:30:00,2025-12-18,118.59,118.81,118.55,118.71,73797.0,,2025-12-18,120.3327993774414,113.89129997253418,106.65898391723633
2025-12-18 14:35:00,2025-12-18,118.68,118.75,118.55,118.59,41063.0,,2025-12-18,120.3327993774414,113.89129997253418,106.65898391723633
2025-12-18 14:40:00,2025-12-18,118.59,118.63,118.5,118.56,54953.0,,2025-12-18,120.3327993774414,113.89129997253418,106.65898391723633
2025-12-18 14:45:00,2025-12-18,118.58,118.81,118.58,118.71,63549.0,,2025-12-18,120.3327993774414,113.89129997253418,106.65898391723633
2025-12-18 14:50:00,2025-12-18,118.7,118.76,118.58,118.65,77992.0,,2025-12-18,120.3327993774414,113.89129997253418,106.65898391723633
2025-12-18 14:55:00,2025-12-18,118.64,118.79,118.57,118.76,69495.0,,2025-12-18,120.3327993774414,113.89129997253418,106.65898391723633
2025-12-18 15:00:00,2025-12-18,118.77,119.08,118.72,119.04,176134.0,,2025-12-18,120.3327993774414,113.89129997253418,106.65898391723633
2025-12-18 15:05:00,2025-12-18,119.04,119.05,118.89,118.89,114404.0,,2025-12-18,120.3327993774414,113.89129997253418,106.65898391723633
2025-12-18 15:10:00,2025-12-18,118.89,119.0,118.86,119.0,142009.0,,2025-12-18,120.3327993774414,113.89129997253418,106.65898391723633
2025-12-18 15:15:00,2025-12-18,119.0,119.15,118.93,118.98,350708.0,,2025-12-18,120.3327993774414,113.89129997253418,106.65898391723633
2025-12-18 15:20:00,2025-12-18,118.93,118.99,118.9,118.91,108495.0,,2025-12-18,120.3327993774414,113.89129997253418,106.65898391723633
2025-12-18 15:25:00,2025-12-18,118.91,118.93,118.69,118.7,435389.0,,2025-12-18,120.3327993774414,113.89129997253418,106.65898391723633
2025-12-19 09:15:00,2025-12-19,118.55,119.75,118.55,119.53,1041000.0,,2025-12-19,120.44319931030272,114.02159996032717,106.83343879699709
2025-12-19 09:20:00,2025-12-19,119.56,119.8,119.42,119.55,320617.0,,2025-12-19,120.44319931030272,114.02159996032717,106.83343879699709
2025-12-19 09:25:00,2025-12-19,119.53,119.71,119.35,119.63,176390.0,,2025-12-19,120.44319931030272,114.02159996032717,106.83343879699709
2025-12-19 09:30:00,2025-12-19,119.63,119.79,119.52,119.6,110072.0,,2025-12-19,120.44319931030272,114.02159996032717,106.83343879699709
2025-12-19 09:35:00,2025-12-19,119.55,119.6,119.35,119.35,73141.0,,2025-12-19,120.44319931030272,114.02159996032717,106.83343879699709
2025-12-19 09:40:00,2025-12-19,119.35,119.4,119.21,119.3,83096.0,118.98,2025-12-19,120.44319931030272,114.02159996032717,106.83343879699709
2025-12-19 09:45:00,2025-12-19,119.3,119.33,119.1,119.2,112298.0,119.0105,2025-12-19,120.44319931030272,114.02159996032717,106.83343879699709
2025-12-19 09:50:00,2025-12-19,119.19,119.3,119.06,119.09,98126.0,119.0375,2025-12-19,120.44319931030272,114.02159996032717,106.83343879699709
2025-12-19 09:55:00,2025-12-19,119.07,119.14,118.9,119.06,82460.0,119.055,2025-12-19,120.44319931030272,114.02159996032717,106.83343879699709
2025-12-19 10:00:00,2025-12-19,119.07,119.18,119.0,119.08,114143.0,119.0795,2025-12-19,120.44319931030272,114.02159996032717,106.83343879699709
2025-12-19 10:05:00,2025-12-19,119.1,119.11,118.85,118.99,89681.0,119.101,2025-12-19,120.44319931030272,114.02159996032717,106.83343879699709
2025-12-19 10:10:00,2025-12-19,119.02,119.03,118.86,118.88,60643.0,119.1095,2025-12-19,120.44319931030272,114.02159996032717,106.83343879699709
2025-12-19 10:15:00,2025-12-19,118.89,119.1,118.88,119.07,33601.0,119.13049999999998,2025-12-19,120.44319931030272,114.02159996032717,106.83343879699709
2025-12-19 10:20:00,2025-12-19,119.06,119.08,118.95,119.07,58200.0,119.146,2025-12-19,120.44319931030272,114.02159996032717,106.83343879699709
2025-12-19 10:25:00,2025-12-19,119.06,119.22,118.99,119.17,42414.0,119.1525,2025-12-19,120.44319931030272,114.02159996032717,106.83343879699709
2025-12-19 10:30:00,2025-12-19,119.18,119.2,119.06,119.13,40022.0,119.1645,2025-12-19,120.44319931030272,114.02159996032717,106.83343879699709
2025-12-19 10:35:00,2025-12-19,119.14,119.15,119.03,119.11,25089.0,119.17,2025-12-19,120.44319931030272,114.02159996032717,106.83343879699709
2025-12-19 10:40:00,2025-12-19,119.12,119.33,119.12,119.24,65586.0,119.183,2025-12-19,120.44319931030272,114.02159996032717,106.83343879699709
2025-12-19 10:45:00,2025-12-19,119.28,119.34,119.16,119.19,53103.0,119.197,2025-12-19,120.44319931030272,114.02159996032717,106.83343879699709
2025-12-19 10:50:00,2025-12-19,119.22,119.27,118.98,119.1,422417.0,119.217,2025-12-19,120.44319931030272,114.02159996032717,106.83343879699709
2025-12-19 10:55:00,2025-12-19,119.1,119.19,119.0,119.09,39706.0,119.195,2025-12-19,120.44319931030272,114.02159996032717,106.83343879699709
2025-12-19 11:00:00,2025-12-19,119.09,119.1,118.92,119.02,96093.0,119.16850000000002,2025-12-19,120.44319931030272,114.02159996032717,106.83343879699709
2025-12-19 11:05:00,2025-12-19,119.08,119.08,118.76,118.85,120313.0,119.1295,2025-12-19,120.44319931030272,114.02159996032717,106.83343879699709
2025-12-19 11:10:00,2025-12-19,118.88,118.98,118.78,118.92,55787.0,119.09550000000002,2025-12-19,120.44319931030272,114.02159996032717,106.83343879699709
2025-12-19 11:15:00,2025-12-19,118.93,119.02,118.9,118.98,40591.0,119.077,2025-12-19,120.44319931030272,114.02159996032717,106.83343879699709
2025-12-19 11:20:00,2025-12-19,118.96,119.09,118.83,118.94,125427.0,119.059,2025-12-19,120.44319931030272,114.02159996032717,106.83343879699709
2025-12-19 11:25:00,2025-12-19,118.92,118.96,118.8,118.84,50612.0,119.04099999999998,2025-12-19,120.44319931030272,114.02159996032717,106.83343879699709
2025-12-19 11:30:00,2025-12-19,118.83,119.1,118.81,119.07,46113.0,119.04,2025-12-19,120.44319931030272,114.02159996032717,106.83343879699709
2025-12-19 11:35:00,2025-12-19,119.07,119.31,119.05,119.11,108398.0,119.04250000000002,2025-12-19,120.44319931030272,114.02159996032717,106.83343879699709
2025-12-19 11:40:00,2025-12-19,119.09,119.13,118.89,118.91,48776.0,119.034,2025-12-19,120.44319931030272,114.02159996032717,106.83343879699709
2025-12-19 11:45:00,2025-12-19,118.94,118.95,118.79,118.9,65672.0,119.0295,2025-12-19,120.44319931030272,114.02159996032717,106.83343879699709
2025-12-19 11:50:00,2025-12-19,118.89,118.95,118.87,118.9,31516.0,119.0305,2025-12-19,120.44319931030272,114.02159996032717,106.83343879699709
2025-12-19 11:55:00,2025-12-19,118.9,118.95,118.9,118.92,24184.0,119.023,2025-12-19,120.44319931030272,114.02159996032717,106.83343879699709
2025-12-19 12:00:00,2025-12-19,118.94,119.06,118.92,119.0,34092.0,119.0195,2025-12-19,120.44319931030272,114.02159996032717,106.83343879699709
2025-12-19 12:05:00,2025-12-19,119.0,119.33,118.96,119.24,97937.0,119.023,2025-12-19,120.44319931030272,114.02159996032717,106.83343879699709
2025-12-19 12:10:00,2025-12-19,119.25,119.28,119.1,119.19,49352.0,119.026,2025-12-19,120.44319931030272,114.02159996032717,106.83343879699709
2025-12-19 12:15:00,2025-12-19,119.19,119.22,119.04,119.04,32264.000000000004,119.0225,2025-12-19,120.44319931030272,114.02159996032717,106.83343879699709
2025-12-19 12:20:00,2025-12-19,119.04,119.24,119.0,119.13,81725.0,119.01699999999998,2025-12-19,120.44319931030272,114.02159996032717,106.83343879699709
2025-12-19 12:25:00,2025-12-19,119.15,119.23,119.11,119.21,36397.0,119.018,2025-12-19,120.44319931030272,114.02159996032717,106.83343879699709
2025-12-19 12:30:00,2025-12-19,119.21,119.44,119.2,119.37,128971.0,119.0315,2025-12-19,120.44319931030272,114.02159996032717,106.83343879699709
2025-12-19 12:35:00,2025-12-19,119.37,119.4,119.19,119.25,69813.0,119.0395,2025-12-19,120.44319931030272,114.02159996032717,106.83343879699709
2025-12-19 12:40:00,2025-12-19,119.28,119.28,119.2,119.2,26928.0,119.0485,2025-12-19,120.44319931030272,114.02159996032717,106.83343879699709
2025-12-19 12:45:00,2025-12-19,119.2,119.22,119.12,119.12,51977.0,119.06199999999998,2025-12-19,120.44319931030272,114.02159996032717,106.83343879699709
2025-12-19 12:50:00,2025-12-19,119.17,119.17,118.94,119.09,45755.0,119.0705,2025-12-19,120.44319931030272,114.02159996032717,106.83343879699709
2025-12-19 12:55:00,2025-12-19,119.04,119.12,119.02,119.04,19103.0,119.0735,2025-12-19,120.44319931030272,114.02159996032717,106.83343879699709
2025-12-19 13:00:00,2025-12-19,119.04,119.1,118.99,119.09,47165.0,119.08100000000002,2025-12-19,120.44319931030272,114.02159996032717,106.83343879699709
2025-12-19 13:05:00,2025-12-19,119.09,119.09,119.0,119.01,28253.0,119.0895,2025-12-19,120.44319931030272,114.02159996032717,106.83343879699709
2025-12-19 13:10:00,2025-12-19,119.02,119.07,118.97,119.0,185630.0,119.08599999999998,2025-12-19,120.44319931030272,114.02159996032717,106.83343879699709
2025-12-19 13:15:00,2025-12-19,119.0,119.05,118.99,119.05,23904.0,119.083,2025-12-19,120.44319931030272,114.02159996032717,106.83343879699709
2025-12-19 13:20:00,2025-12-19,119.05,119.13,119.03,119.13,34445.0,119.094,2025-12-19,120.44319931030272,114.02159996032717,106.83343879699709
2025-12-19 13:25:00,2025-12-19,119.12,119.16,119.03,119.11,31322.0,119.1045,2025-12-19,120.44319931030272,114.02159996032717,106.83343879699709
2025-12-19 13:30:00,2025-12-19,119.09,119.28,119.06,119.24,78615.0,119.1215,2025-12-19,120.44319931030272,114.02159996032717,106.83343879699709
2025-12-19 13:35:00,2025-12-19,119.21,119.29,119.19,119.25,49876.0,119.138,2025-12-19,120.44319931030272,114.02159996032717,106.83343879699709
2025-12-19 13:40:00,2025-12-19,119.23,119.34,119.15,119.31,56955.0,119.1535,2025-12-19,120.44319931030272,114.02159996032717,106.83343879699709
2025-12-19 13:45:00,2025-12-19,119.31,119.4,119.28,119.35,71362.0,119.159,2025-12-19,120.44319931030272,114.02159996032717,106.83343879699709
2025-12-19 13:50:00,2025-12-19,119.33,119.36,119.21,119.27,19646.0,119.16299999999998,2025-12-19,120.44319931030272,114.02159996032717,106.83343879699709
2025-12-19 13:55:00,2025-12-19,119.24,119.27,119.16,119.23,27976.0,119.1725,2025-12-19,120.44319931030272,114.02159996032717,106.83343879699709
2025-12-19 14:00:00,2025-12-19,119.23,119.27,119.19,119.22,22238.0,119.17700000000002,2025-12-19,120.44319931030272,114.02159996032717,106.83343879699709
2025-12-19 14:05:00,2025-12-19,119.22,119.27,119.2,119.26,42940.0,119.1795,2025-12-19,120.44319931030272,114.02159996032717,106.83343879699709
2025-12-19 14:10:00,2025-12-19,119.26,119.28,119.15,119.18,22653.0,119.17,2025-12-19,120.44319931030272,114.02159996032717,106.83343879699709
2025-12-19 14:15:00,2025-12-19,119.19,119.33,119.17,119.31,39319.0,119.173,2025-12-19,120.44319931030272,114.02159996032717,106.83343879699709
2025-12-19 14:20:00,2025-12-19,119.32,119.36,119.24,119.33,71742.0,119.1795,2025-12-19,120.44319931030272,114.02159996032717,106.83343879699709
2025-12-19 14:25:00,2025-12-19,119.33,119.35,119.19,119.19,24364.0,119.18300000000002,2025-12-19,120.44319931030272,114.02159996032717,106.83343879699709
2025-12-19 14:30:00,2025-12-19,119.19,119.5,119.12,119.27,144993.0,119.192,2025-12-19,120.44319931030272,114.02159996032717,106.83343879699709
2025-12-19 14:35:00,2025-12-19,119.27,119.45,119.22,119.44,99984.0,119.21200000000002,2025-12-19,120.44319931030272,114.02159996032717,106.83343879699709
2025-12-19 14:40:00,2025-12-19,119.44,119.6,119.35,119.59,161382.0,119.237,2025-12-19,120.44319931030272,114.02159996032717,106.83343879699709
2025-12-19 14:45:00,2025-12-19,119.59,119.85,119.55,119.83,406724.0,119.278,2025-12-19,120.44319931030272,114.02159996032717,106.83343879699709
2025-12-19 14:50:00,2025-12-19,119.83,119.84,119.5,119.66,122981.0,119.311,2025-12-19,120.44319931030272,114.02159996032717,106.83343879699709
2025-12-19 14:55:00,2025-12-19,119.67,119.72,119.56,119.62,158982.0,119.3395,2025-12-19,120.44319931030272,114.02159996032717,106.83343879699709
2025-12-19 15:00:00,2025-12-19,119.63,119.88,119.62,119.79,553954.0,119.3725,2025-12-19,120.44319931030272,114.02159996032717,106.83343879699709
2025-12-19 15:05:00,2025-12-19,119.79,119.9,119.59,119.82,464875.0,119.40800000000002,2025-12-19,120.44319931030272,114.02159996032717,106.83343879699709
2025-12-19 15:10:00,2025-12-19,119.82,119.95,119.8,119.93,360482.0,119.4425,2025-12-19,120.44319931030272,114.02159996032717,106.83343879699709
2025-12-19 15:15:00,2025-12-19,119.93,119.97,119.71,119.81,639634.0,119.4705,2025-12-19,120.44319931030272,114.02159996032717,106.83343879699709
2025-12-19 15:20:00,2025-12-19,119.79,119.79,119.66,119.7,341286.0,119.49,2025-12-19,120.44319931030272,114.02159996032717,106.83343879699709
2025-12-19 15:25:00,2025-12-19,119.7,119.92,119.67,119.84,756803.0,119.5145,2025-12-19,120.44319931030272,114.02159996032717,106.83343879699709
2025-12-22 09:15:00,2025-12-22,120.45,120.64,120.2,120.47,383397.0,119.5745,2025-12-22,120.5245993041992,114.1417999267578,107.01582958221437
2025-12-22 09:20:00,2025-12-22,120.44,120.58,120.35,120.39,247079.0,119.6325,2025-12-22,120.5245993041992,114.1417999267578,107.01582958221437
2025-12-22 09:25:00,2025-12-22,120.39,120.58,120.28,120.44,180485.0,119.6935,2025-12-22,120.5245993041992,114.1417999267578,107.01582958221437
2025-12-22 09:30:00,2025-12-22,120.45,120.75,120.4,120.7,341908.0,119.7655,2025-12-22,120.5245993041992,114.1417999267578,107.01582958221437
2025-12-22 09:35:00,2025-12-22,120.7,120.85,120.56,120.59,252745.0,119.836,2025-12-22,120.5245993041992,114.1417999267578,107.01582958221437
2025-12-22 09:40:00,2025-12-22,120.59,120.66,120.5,120.62,330686.0,119.90149999999998,2025-12-22,120.5245993041992,114.1417999267578,107.01582958221437
2025-12-22 09:45:00,2025-12-22,120.62,120.84,120.62,120.82,1009000.0,119.976,2025-12-22,120.5245993041992,114.1417999267578,107.01582958221437
2025-12-22 09:50:00,2025-12-22,120.81,121.1,120.81,120.84,303936.0,120.0585,2025-12-22,120.5245993041992,114.1417999267578,107.01582958221437
2025-12-22 09:55:00,2025-12-22,120.84,121.01,120.82,120.97,128756.0,120.1435,2025-12-22,120.5245993041992,114.1417999267578,107.01582958221437
2025-12-22 10:00:00,2025-12-22,120.96,120.99,120.81,120.81,150794.0,120.212,2025-12-22,120.5245993041992,114.1417999267578,107.01582958221437
2025-12-22 10:05:00,2025-12-22,120.83,120.86,120.8,120.83,409990.0,120.274,2025-12-22,120.5245993041992,114.1417999267578,107.01582958221437
2025-12-22 10:10:00,2025-12-22,120.82,121.09,120.8,121.0,770225.0,120.3325,2025-12-22,120.5245993041992,114.1417999267578,107.01582958221437
2025-12-22 10:15:00,2025-12-22,121.01,121.23,120.98,121.11,236212.0,120.405,2025-12-22,120.5245993041992,114.1417999267578,107.01582958221437
2025-12-22 10:20:00,2025-12-22,121.12,121.13,120.85,121.01,88891.0,120.4745,2025-12-22,120.5245993041992,114.1417999267578,107.01582958221437
2025-12-22 10:25:00,2025-12-22,121.07,121.09,120.9,120.92,56675.0,120.531,2025-12-22,120.5245993041992,114.1417999267578,107.01582958221437
2025-12-22 10:30:00,2025-12-22,120.92,120.94,120.81,120.89,134473.0,120.5845,2025-12-22,120.5245993041992,114.1417999267578,107.01582958221437
2025-12-22 10:35:00,2025-12-22,120.9,120.95,120.81,120.88,46324.0,120.632,2025-12-22,120.5245993041992,114.1417999267578,107.01582958221437
2025-12-22 10:40:00,2025-12-22,120.87,120.92,120.81,120.9,64732.0,120.6865,2025-12-22,120.5245993041992,114.1417999267578,107.01582958221437
2025-12-22 10:45:00,2025-12-22,120.89,121.1,120.85,120.95,69883.0,120.749,2025-12-22,120.5245993041992,114.1417999267578,107.01582958221437
2025-12-22 10:50:00,2025-12-22,120.95,120.98,120.54,120.67,1056000.0,120.7905,2025-12-22,120.5245993041992,114.1417999267578,107.01582958221437
2025-12-22 10:55:00,2025-12-22,120.67,120.9,120.55,120.74,265887.0,120.804,2025-12-22,120.5245993041992,114.1417999267578,107.01582958221437
2025-12-22 11:00:00,2025-12-22,120.74,120.75,120.66,120.69,674100.0,120.819,2025-12-22,120.5245993041992,114.1417999267578,107.01582958221437
2025-12-22 11:05:00,2025-12-22,120.69,120.69,120.55,120.62,54295.0,120.828,2025-12-22,120.5245993041992,114.1417999267578,107.01582958221437
