Index,Timestamp,Open,High,Low,Close,Volume,Used_for_MA20
0,2025-12-24T13:50:00+05:30,1.07,1.07,1.06,1.06,7240,YES
1,2025-12-24T13:55:00+05:30,1.07,1.07,1.06,1.07,28023,YES
2,2025-12-24T14:00:00+05:30,1.07,1.07,1.06,1.06,31324,YES
3,2025-12-24T14:05:00+05:30,1.06,1.07,1.05,1.07,433102,YES
4,2025-12-24T14:10:00+05:30,1.06,1.07,1.06,1.06,7693,YES
5,2025-12-24T14:15:00+05:30,1.07,1.07,1.06,1.06,84122,YES
6,2025-12-24T14:20:00+05:30,1.07,1.07,1.06,1.06,6272,YES
7,2025-12-24T14:25:00+05:30,1.07,1.07,1.06,1.07,6914,YES
8,2025-12-24T14:30:00+05:30,1.07,1.07,1.06,1.06,47280,YES
9,2025-12-24T14:35:00+05:30,1.07,1.07,1.06,1.06,24462,YES
10,2025-12-24T14:40:00+05:30,1.07,1.07,1.06,1.06,9339,YES
11,2025-12-24T14:45:00+05:30,1.07,1.08,1.06,1.08,154296,YES
12,2025-12-24T14:50:00+05:30,1.08,1.08,1.06,1.06,99873,YES
13,2025-12-24T14:55:00+05:30,1.06,1.08,1.06,1.07,20498,YES
14,2025-12-24T15:00:00+05:30,1.07,1.07,1.06,1.07,7602,YES
15,2025-12-24T15:05:00+05:30,1.07,1.08,1.07,1.07,1208,YES
16,2025-12-24T15:10:00+05:30,1.08,1.08,1.06,1.07,150580,YES
17,2025-12-24T15:15:00+05:30,1.08,1.08,1.07,1.08,11692,YES
18,2025-12-24T15:20:00+05:30,1.08,1.08,1.07,1.08,21999,YES
19,2025-12-24T15:25:00+05:30,1.08,1.08,1.06,1.07,587173,YES
