Index,Timestamp,Open,High,Low,Close,Volume,Order
0,2025-12-24T13:50:00+05:30,1.07,1.07,1.06,1.06,1029,OLDEST_FIRST
1,2025-12-24T13:51:00+05:30,1.06,1.06,1.06,1.06,100,OLDEST_FIRST
2,2025-12-24T13:52:00+05:30,1.06,1.06,1.06,1.06,300,OLDEST_FIRST
3,2025-12-24T13:53:00+05:30,1.06,1.06,1.06,1.06,3551,OLDEST_FIRST
4,2025-12-24T13:54:00+05:30,1.07,1.07,1.06,1.06,2260,OLDEST_FIRST
5,2025-12-24T13:55:00+05:30,1.07,1.07,1.07,1.07,1141,OLDEST_FIRST
6,2025-12-24T13:56:00+05:30,1.07,1.07,1.06,1.07,3833,OLDEST_FIRST
7,2025-12-24T13:57:00+05:30,1.06,1.07,1.06,1.07,5020,OLDEST_FIRST
8,2025-12-24T13:58:00+05:30,1.07,1.07,1.07,1.07,7501,OLDEST_FIRST
9,2025-12-24T13:59:00+05:30,1.07,1.07,1.06,1.07,10528,OLDEST_FIRST
10,2025-12-24T14:00:00+05:30,1.07,1.07,1.07,1.07,301,OLDEST_FIRST
11,2025-12-24T14:01:00+05:30,1.06,1.07,1.06,1.07,675,OLDEST_FIRST
12,2025-12-24T14:02:00+05:30,1.07,1.07,1.07,1.07,10008,OLDEST_FIRST
13,2025-12-24T14:03:00+05:30,1.06,1.07,1.06,1.06,10302,OLDEST_FIRST
14,2025-12-24T14:04:00+05:30,1.06,1.07,1.06,1.06,10038,OLDEST_FIRST
15,2025-12-24T14:05:00+05:30,1.06,1.06,1.05,1.05,354476,OLDEST_FIRST
16,2025-12-24T14:06:00+05:30,1.06,1.06,1.05,1.06,82,OLDEST_FIRST
17,2025-12-24T14:07:00+05:30,1.06,1.06,1.06,1.06,2500,OLDEST_FIRST
18,2025-12-24T14:08:00+05:30,1.06,1.07,1.06,1.06,72540,OLDEST_FIRST
19,2025-12-24T14:09:00+05:30,1.07,1.07,1.06,1.07,3504,OLDEST_FIRST
20,2025-12-24T14:10:00+05:30,1.06,1.07,1.06,1.07,2182,OLDEST_FIRST
21,2025-12-24T14:11:00+05:30,1.07,1.07,1.06,1.06,515,OLDEST_FIRST
22,2025-12-24T14:12:00+05:30,1.07,1.07,1.06,1.06,3159,OLDEST_FIRST
23,2025-12-24T14:13:00+05:30,1.06,1.06,1.06,1.06,562,OLDEST_FIRST
24,2025-12-24T14:14:00+05:30,1.07,1.07,1.06,1.06,1275,OLDEST_FIRST
25,2025-12-24T14:15:00+05:30,1.07,1.07,1.07,1.07,11,OLDEST_FIRST
26,2025-12-24T14:16:00+05:30,1.06,1.07,1.06,1.07,64726,OLDEST_FIRST
27,2025-12-24T14:17:00+05:30,1.07,1.07,1.06,1.06,432,OLDEST_FIRST
28,2025-12-24T14:18:00+05:30,1.06,1.06,1.06,1.06,581,OLDEST_FIRST
29,2025-12-24T14:19:00+05:30,1.06,1.07,1.06,1.06,18372,OLDEST_FIRST
30,2025-12-24T14:20:00+05:30,1.07,1.07,1.06,1.06,1061,OLDEST_FIRST
31,2025-12-24T14:21:00+05:30,1.06,1.06,1.06,1.06,5000,OLDEST_FIRST
