sl,tp,n,pf,zpf,shd,zshd,sl_hit_pct,tp_hit_pct,eod_plus_pct,eod_minus_pct,eod_pct
5.0,3.5,80307,0.922,0.666,-1.08,-5.402,15.1,26.1,22.9,35.9,58.8
5.0,4.0,78268,0.921,0.671,-1.053,-5.124,15.4,21.5,26.5,36.6,63.1
5.0,4.5,76775,0.925,0.678,-0.979,-4.868,15.7,17.8,29.6,36.9,66.5
5.0,5.0,75620,0.927,0.682,-0.93,-4.69,15.9,14.7,32.3,37.1,69.4
5.0,5.5,74794,0.929,0.686,-0.886,-4.543,16.1,12.1,34.6,37.2,71.80000000000001
5.0,6.0,74137,0.932,0.69,-0.826,-4.393,16.2,10.0,36.5,37.3,73.8
5.5,2.0,91320,0.9,0.602,-1.526,-7.138,10.6,46.2,10.5,32.6,43.1
5.5,2.5,85774,0.901,0.628,-1.462,-6.417,11.4,38.1,14.9,35.6,50.5
5.5,3.0,82176,0.911,0.65,-1.258,-5.772,12.0,31.6,19.2,37.3,56.5
5.5,3.5,79539,0.92,0.666,-1.085,-5.291,12.4,26.3,22.9,38.4,61.3
5.5,4.0,77510,0.92,0.672,-1.055,-5.018,12.7,21.7,26.6,39.0,65.6
5.5,4.5,76016,0.923,0.678,-0.986,-4.773,12.9,17.9,29.7,39.5,69.2
5.5,5.0,74860,0.925,0.682,-0.942,-4.605,13.1,14.8,32.4,39.7,72.1
5.5,5.5,74033,0.926,0.686,-0.902,-4.467,13.3,12.3,34.7,39.8,74.5
5.5,6.0,73377,0.93,0.69,-0.846,-4.326,13.4,10.1,36.6,39.9,76.5
6.0,2.0,90683,0.901,0.603,-1.493,-6.978,8.7,46.4,10.5,34.4,44.9
6.0,2.5,85146,0.901,0.629,-1.428,-6.276,9.3,38.3,14.9,37.5,52.4
6.0,3.0,81548,0.911,0.65,-1.237,-5.654,9.8,31.7,19.2,39.3,58.5
6.0,3.5,78911,0.92,0.667,-1.061,-5.179,10.1,26.5,23.0,40.5,63.5
6.0,4.0,76889,0.92,0.673,-1.028,-4.911,10.4,21.8,26.6,41.2,67.80000000000001
6.0,4.5,75400,0.924,0.68,-0.959,-4.671,10.6,18.1,29.7,41.6,71.3
6.0,5.0,74246,0.926,0.684,-0.912,-4.504,10.7,14.9,32.5,41.9,74.4
6.0,5.5,73421,0.927,0.687,-0.876,-4.371,10.8,12.3,34.8,42.0,76.8
6.0,6.0,72764,0.931,0.691,-0.821,-4.233,10.9,10.2,36.7,42.2,78.9
