Filter,ATR_Config,Total_Trades,Avg_Win_Rate,Net_Profit
No Filter,Sideways,81909,39.30817837091926,-1546.5853571428945
No Filter,Regular-1,81909,42.72143291221166,-1235.3074999999749
No Filter,Regular-2,81909,41.10413587763703,5062.075714285709
No Filter,Extreme,81909,40.784442255369406,7323.98464285719
MA50,Sideways,11937,38.312173973652634,-279.6489285714429
MA50,Regular-1,11937,41.51328356213968,-610.4067857142712
MA50,Regular-2,11937,39.47993673090364,-367.7800000000104
MA50,Extreme,11937,39.31444723758375,-1075.0599999999934
MA100,Sideways,10319,37.93453379512252,177.73571428569878
MA100,Regular-1,10319,40.810712743773074,175.18250000002868
MA100,Regular-2,10319,38.92031643005419,338.8142857142776
MA100,Extreme,10319,38.53962939285402,-335.68392857142453
MA200,Sideways,4970,39.73082857910936,541.642142857141
MA200,Regular-1,4970,41.337767005614744,452.65285714288086
MA200,Regular-2,4970,40.5001118044981,1573.2007142857165
MA200,Extreme,4970,39.38063004627724,1017.7235714285815
MA50+100,Sideways,8998,37.580784086148284,-273.6121428571562
MA50+100,Regular-1,8998,40.69096153366191,-301.6303571428364
MA50+100,Regular-2,8998,38.697462080709236,-306.2457142857239
MA50+100,Extreme,8998,38.4561435159433,-1292.357499999993
MA50+200,Sideways,4195,38.74385529199352,251.58714285714117
MA50+200,Regular-1,4195,40.55496982430231,220.5282142857289
MA50+200,Regular-2,4195,40.05457039200944,1411.2600000000002
MA50+200,Extreme,4195,38.60889384128049,599.7032142857217
MA100+200,Sideways,4377,37.81010475703597,381.74535714285537
MA100+200,Regular-1,4377,39.0302152043086,300.2092857143067
MA100+200,Regular-2,4377,38.39393385219793,1347.6585714285702
MA100+200,Extreme,4377,37.214727656413366,873.7403571428632
MA50+100+200,Sideways,4084,37.733675191658335,101.1592857142829
MA50+100+200,Regular-1,4084,39.540628960140936,111.16464285715949
MA50+100+200,Regular-2,4084,39.020774930818206,1160.0542857142855
MA50+100+200,Extreme,4084,37.47619130459894,375.18178571429166
