Price,Close,High,Low,Open,Volume,MA50,MA100,MA200
Ticker,PNB.NS,PNB.NS,PNB.NS,PNB.NS,PNB.NS,,,
Date,,,,,,,,
2024-01-01,93.9363021850586,95.32901534709609,91.96728684619094,92.44753377489168,55329198,,,
2024-01-02,93.16790771484375,94.9928475789793,92.30346174467566,93.93630576121247,50741670,,,
2024-01-03,92.63963317871094,94.08037402023358,91.05482411542552,92.20741385744888,73009456,,,
2024-01-04,93.5521011352539,93.98432043045918,92.63962759384015,92.68765521685691,37426897,,,
2024-01-05,93.40802764892578,94.03235012194523,91.87123894240709,94.03235012194523,42729858,,,
2024-01-08,91.24691772460938,93.40802893387644,91.05482188164697,93.40802893387644,47101702,,,
2024-01-09,91.19889831542969,92.9277903697834,90.8627268959685,92.20741990180058,33881561,,,
2024-01-10,90.67062377929688,91.4390144868582,89.66210227363835,91.19889101674777,54772377,,,
2024-01-11,91.05482482910156,92.15938695387018,90.47852262558604,91.43901652746268,28709414,,,
2024-01-12,93.84024810791016,94.70469405595574,90.9587664997493,91.63111660511218,78525419,,,
2024-01-15,94.32050323486328,95.66519623439639,93.93631151612865,94.46457879338242,46701350,,,
2024-01-16,94.36852264404297,96.14543483637418,92.97580946496932,94.51259819001288,60660256,,,
2024-01-17,93.3600082397461,96.00136658048774,92.59161748286813,93.21594001082269,98759165,,,
2024-01-18,94.60865020751953,95.08889716288765,90.57457871362213,93.45606044583084,60733225,,,
2024-01-19,98.16246795654297,98.45061904102838,94.9928426671359,95.47308958928726,104194911,,,
2024-01-23,94.84877014160156,102.48469351547759,94.27247528228791,102.43667321852703,83723415,,,
2024-01-24,98.16246795654297,98.59469458327108,93.9363009040002,95.23296612821157,65088374,,,
2024-01-25,100.37161254882812,101.8123533988113,96.67371249946868,98.69074822384775,111791532,,,
2024-01-29,103.25308990478516,105.17407762394394,101.28407456145275,103.25308990478516,108149443,,,
2024-01-30,104.9339599609375,106.56679668130877,102.67680073172298,103.7333425700801,75911884,,,
2024-01-31,109.88050079345703,110.40876802804894,104.7418600265015,105.1740793391664,113135172,,,
2024-02-01,114.15470123291016,114.92309930216814,109.20815606603117,110.45680109657863,134380980,,,
2024-02-02,120.44593811035156,123.1833442957713,115.35531744217752,116.89210623680026,167566465,,,
2024-02-05,116.84407806396484,121.79062284630356,116.02765975883784,120.9261769175864,92993076,,,
2024-02-06,117.08421325683594,117.9966795725785,114.39482728203589,117.56446022890829,53028325,,,
2024-02-07,119.00518798828125,120.7821001229016,117.99666652723343,118.8130848238983,65831369,,,
2024-02-08,119.38939666748047,122.22285078795132,118.18877927270688,120.68606198823854,83500656,,,
2024-02-09,119.00518798828125,119.67753074365551,113.1461770423501,119.58148282545726,69128606,,,
2024-02-12,113.57839965820312,120.59000781142639,112.47383024666978,119.91765770841248,65062679,,,
2024-02-13,117.27629852294922,118.62099138890662,111.12913636999156,113.62642626162096,76885208,,,
2024-02-14,118.09272003173828,119.58148848218917,114.77901906523378,116.12371196757864,57158902,,,
2024-02-15,123.75965118408203,124.19187052991282,118.71705062412825,119.96569568895296,102510609,,,
2024-02-16,125.00827026367188,127.36149195010125,124.19185927464228,124.52802333272274,111266944,,,
2024-02-19,123.37543487548828,126.11284827193016,123.13531140758894,125.72864192970718,44582022,,,
2024-02-20,124.38395690917969,125.34445078492625,123.13531193951447,123.90370997130641,32539004,,,
2024-02-21,123.2793960571289,125.96876721154965,122.17481929530206,124.81617748023024,54001521,,,
2024-02-22,123.9037094116211,124.19186050423814,120.68605640800192,123.85568178685602,41873541,,,
2024-02-23,122.89519500732422,125.63260856119322,121.98272870802596,124.38396352511307,48191136,,,
2024-02-26,119.91766357421875,123.18334434406425,119.38939631885317,122.8471729401067,41091685,,,
2024-02-27,118.52494812011719,120.7821073079892,117.75655007284776,119.91766133680781,37510230,,,
2024-02-28,115.9796371459961,120.4939554950182,115.40334227794877,119.10124228657156,52883269,,,
2024-02-29,117.03617858886719,120.59001036523676,114.01062138119708,115.97963677945502,356428226,,,
2024-03-01,119.91766357421875,120.06173912676827,116.2197634747117,118.18877892758549,52161604,,,
2024-03-04,121.07025909423828,121.69457426719963,119.82161409234175,121.45445079206468,43386707,,,
2024-03-05,124.57605743408203,124.86420853882798,120.54198593556086,120.87815733910645,60554186,,,
2024-03-06,125.20038604736328,125.53655011963812,120.6380326827164,124.48001562052224,82989654,,,
2024-03-07,124.72013092041016,126.44900810671723,124.38395221419884,125.3924736768599,38719979,,,
2024-03-11,123.80765533447266,127.6976584817053,123.03927195484891,125.24839615522744,55291160,,,
2024-03-12,120.97420501708984,124.96026353663994,119.91766318182887,123.71161852261251,43724417,,,
2024-03-13,114.10667419433594,121.83864541764737,112.28173438362103,121.31037818822112,69647674,109.9659846496582,,
